"","study_id","study_cols"
"1","ESP1-2","#CB00FF"
"2","NLD1","#E59500"
"3","DNK1","#002642"
"4","CHE1","#761EF8"
"5","BRA1","#3EF944"
"6","NYC_NY_1","#F61843"
"7","ITA1","#271F8E"
"8","CHN1","#5945AA"
"9","LUX1","#82AA96"
"10","GBR3","#66678E"
"11","CHE2","#840032"
"12","KEN1","#895B51"
