region,city,age_low,age_high,population,totpop,site
North,Manaus,70,79,30595,1802014,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amazonas/1302603__manaus/
North,Manaus,80,89,13791,1802014,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amazonas/1302603__manaus/
North,Macapa,0,9,79152,398204,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amap%C3%A1/1600303__macap%C3%A1/
North,Macapa,10,19,87873,398204,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amap%C3%A1/1600303__macap%C3%A1/
North,Macapa,20,29,81487,398204,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amap%C3%A1/1600303__macap%C3%A1/
North,Macapa,30,39,64097,398204,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amap%C3%A1/1600303__macap%C3%A1/
North,Macapa,40,49,41050,398204,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amap%C3%A1/1600303__macap%C3%A1/
North,Macapa,50,59,24037,398204,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amap%C3%A1/1600303__macap%C3%A1/
North,Macapa,60,69,11803,398204,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amap%C3%A1/1600303__macap%C3%A1/
North,Macapa,70,79,5965,398204,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amap%C3%A1/1600303__macap%C3%A1/
North,Macapa,80,89,2740,398204,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amap%C3%A1/1600303__macap%C3%A1/
Northeast,Fortaleza,0,9,345177,2452185,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/cear%C3%A1/2304400__fortaleza/
Northeast,Fortaleza,10,19,432658,2452185,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/cear%C3%A1/2304400__fortaleza/
Northeast,Fortaleza,20,29,494460,2452185,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/cear%C3%A1/2304400__fortaleza/
Northeast,Fortaleza,30,39,393220,2452185,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/cear%C3%A1/2304400__fortaleza/
Northeast,Fortaleza,40,49,331485,2452185,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/cear%C3%A1/2304400__fortaleza/
Northeast,Fortaleza,50,59,217410,2452185,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/cear%C3%A1/2304400__fortaleza/
Northeast,Fortaleza,60,69,130239,2452185,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/cear%C3%A1/2304400__fortaleza/
Northeast,Fortaleza,70,79,70556,2452185,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/cear%C3%A1/2304400__fortaleza/
Northeast,Fortaleza,80,89,36980,2452185,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/cear%C3%A1/2304400__fortaleza/
North,Maraba,0,9,48631,233669,https://www.citypopulation.de/en/brazil/regiaonorte/admin/par%C3%A1/1504208__marab%C3%A1/
North,Maraba,10,19,48864,233669,https://www.citypopulation.de/en/brazil/regiaonorte/admin/par%C3%A1/1504208__marab%C3%A1/
North,Maraba,20,29,49098,233669,https://www.citypopulation.de/en/brazil/regiaonorte/admin/par%C3%A1/1504208__marab%C3%A1/
North,Maraba,30,39,35623,233669,https://www.citypopulation.de/en/brazil/regiaonorte/admin/par%C3%A1/1504208__marab%C3%A1/
North,Maraba,40,49,23816,233669,https://www.citypopulation.de/en/brazil/regiaonorte/admin/par%C3%A1/1504208__marab%C3%A1/
North,Maraba,50,59,14752,233669,https://www.citypopulation.de/en/brazil/regiaonorte/admin/par%C3%A1/1504208__marab%C3%A1/
North,Maraba,60,69,7543,233669,https://www.citypopulation.de/en/brazil/regiaonorte/admin/par%C3%A1/1504208__marab%C3%A1/
North,Maraba,70,79,3956,233669,https://www.citypopulation.de/en/brazil/regiaonorte/admin/par%C3%A1/1504208__marab%C3%A1/
North,Maraba,80,89,1386,233669,https://www.citypopulation.de/en/brazil/regiaonorte/admin/par%C3%A1/1504208__marab%C3%A1/
North,Rio Branco,0,9,62424,336038,https://www.citypopulation.de/en/brazil/regiaonorte/admin/acre/1200401__rio_branco/
North,Rio Branco,10,19,69575,336038,https://www.citypopulation.de/en/brazil/regiaonorte/admin/acre/1200401__rio_branco/
North,Rio Branco,20,29,67770,336038,https://www.citypopulation.de/en/brazil/regiaonorte/admin/acre/1200401__rio_branco/
North,Rio Branco,30,39,54212,336038,https://www.citypopulation.de/en/brazil/regiaonorte/admin/acre/1200401__rio_branco/
North,Rio Branco,40,49,36973,336038,https://www.citypopulation.de/en/brazil/regiaonorte/admin/acre/1200401__rio_branco/
North,Rio Branco,50,59,23464,336038,https://www.citypopulation.de/en/brazil/regiaonorte/admin/acre/1200401__rio_branco/
North,Rio Branco,60,69,12366,336038,https://www.citypopulation.de/en/brazil/regiaonorte/admin/acre/1200401__rio_branco/
North,Rio Branco,70,79,6174,336038,https://www.citypopulation.de/en/brazil/regiaonorte/admin/acre/1200401__rio_branco/
North,Rio Branco,80,89,3080,336038,https://www.citypopulation.de/en/brazil/regiaonorte/admin/acre/1200401__rio_branco/
North,Parintins,0,9,24648,102033,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amazonas/1303403__parintins/
North,Parintins,10,19,25305,102033,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amazonas/1303403__parintins/
North,Parintins,20,29,17230,102033,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amazonas/1303403__parintins/
North,Parintins,30,39,12667,102033,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amazonas/1303403__parintins/
North,Parintins,40,49,8831,102033,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amazonas/1303403__parintins/
North,Parintins,50,59,6199,102033,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amazonas/1303403__parintins/
North,Parintins,60,69,3789,102033,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amazonas/1303403__parintins/
North,Parintins,70,79,2293,102033,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amazonas/1303403__parintins/
North,Parintins,80,89,1071,102033,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amazonas/1303403__parintins/
North,Boa Vista,0,9,54713,284313,https://www.citypopulation.de/en/brazil/regiaonorte/admin/roraima/1400100__boa_vista/
North,Boa Vista,10,19,59953,284313,https://www.citypopulation.de/en/brazil/regiaonorte/admin/roraima/1400100__boa_vista/
North,Boa Vista,20,29,59240,284313,https://www.citypopulation.de/en/brazil/regiaonorte/admin/roraima/1400100__boa_vista/
North,Boa Vista,30,39,45858,284313,https://www.citypopulation.de/en/brazil/regiaonorte/admin/roraima/1400100__boa_vista/
North,Boa Vista,40,49,31250,284313,https://www.citypopulation.de/en/brazil/regiaonorte/admin/roraima/1400100__boa_vista/
North,Boa Vista,50,59,18570,284313,https://www.citypopulation.de/en/brazil/regiaonorte/admin/roraima/1400100__boa_vista/
North,Boa Vista,60,69,8831,284313,https://www.citypopulation.de/en/brazil/regiaonorte/admin/roraima/1400100__boa_vista/
North,Boa Vista,70,79,4031,284313,https://www.citypopulation.de/en/brazil/regiaonorte/admin/roraima/1400100__boa_vista/
North,Boa Vista,80,89,1867,284313,https://www.citypopulation.de/en/brazil/regiaonorte/admin/roraima/1400100__boa_vista/
North,Oiapoque,0,9,5091,20509,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amap%C3%A1/1600501__oiapoque/
North,Oiapoque,10,19,4663,20509,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amap%C3%A1/1600501__oiapoque/
North,Oiapoque,20,29,3862,20509,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amap%C3%A1/1600501__oiapoque/
North,Oiapoque,30,39,3076,20509,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amap%C3%A1/1600501__oiapoque/
North,Oiapoque,40,49,2043,20509,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amap%C3%A1/1600501__oiapoque/
North,Oiapoque,50,59,1095,20509,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amap%C3%A1/1600501__oiapoque/
North,Oiapoque,60,69,451,20509,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amap%C3%A1/1600501__oiapoque/
North,Oiapoque,70,79,156,20509,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amap%C3%A1/1600501__oiapoque/
North,Oiapoque,80,89,72,20509,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amap%C3%A1/1600501__oiapoque/
Northeast,Recife,0,9,201823,1537704,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/pernambuco/2611606__recife/
Northeast,Recife,10,19,245673,1537704,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/pernambuco/2611606__recife/
Northeast,Recife,20,29,281046,1537704,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/pernambuco/2611606__recife/
Northeast,Recife,30,39,249987,1537704,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/pernambuco/2611606__recife/
Northeast,Recife,40,49,216607,1537704,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/pernambuco/2611606__recife/
Northeast,Recife,50,59,160844,1537704,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/pernambuco/2611606__recife/
Northeast,Recife,60,69,97500,1537704,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/pernambuco/2611606__recife/
Northeast,Recife,70,79,55271,1537704,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/pernambuco/2611606__recife/
Northeast,Recife,80,89,28953,1537704,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/pernambuco/2611606__recife/
Southeast,Sao Paulo,0,9,1469206,11253503,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/s%C3%A3o_paulo/3550308__s%C3%A3o_paulo/
Southeast,Sao Paulo,10,19,1709687,11253503,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/s%C3%A3o_paulo/3550308__s%C3%A3o_paulo/
Southeast,Sao Paulo,20,29,2066242,11253503,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/s%C3%A3o_paulo/3550308__s%C3%A3o_paulo/
Southeast,Sao Paulo,30,39,1898760,11253503,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/s%C3%A3o_paulo/3550308__s%C3%A3o_paulo/
Southeast,Sao Paulo,40,49,1555699,11253503,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/s%C3%A3o_paulo/3550308__s%C3%A3o_paulo/
Southeast,Sao Paulo,50,59,1215771,11253503,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/s%C3%A3o_paulo/3550308__s%C3%A3o_paulo/
Southeast,Sao Paulo,60,69,725393,11253503,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/s%C3%A3o_paulo/3550308__s%C3%A3o_paulo/
Southeast,Sao Paulo,70,79,408270,11253503,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/s%C3%A3o_paulo/3550308__s%C3%A3o_paulo/
Southeast,Sao Paulo,80,89,204475,11253503,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/s%C3%A3o_paulo/3550308__s%C3%A3o_paulo/
Southeast,Rio de Janeiro,0,9,759791,6320446,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/rio_de_janeiro/3304557__rio_de_janeiro/
Southeast,Rio de Janeiro,10,19,930717,6320446,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/rio_de_janeiro/3304557__rio_de_janeiro/
Southeast,Rio de Janeiro,20,29,1059810,6320446,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/rio_de_janeiro/3304557__rio_de_janeiro/
Southeast,Rio de Janeiro,30,39,992986,6320446,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/rio_de_janeiro/3304557__rio_de_janeiro/
Southeast,Rio de Janeiro,40,49,876487,6320446,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/rio_de_janeiro/3304557__rio_de_janeiro/
Southeast,Rio de Janeiro,50,59,759804,6320446,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/rio_de_janeiro/3304557__rio_de_janeiro/
Southeast,Rio de Janeiro,60,69,485325,6320446,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/rio_de_janeiro/3304557__rio_de_janeiro/
Southeast,Rio de Janeiro,70,79,300283,6320446,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/rio_de_janeiro/3304557__rio_de_janeiro/
Southeast,Rio de Janeiro,80,89,155243,6320446,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/rio_de_janeiro/3304557__rio_de_janeiro/
Northeast,Sobral,0,9,29431,188233,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/cear%C3%A1/2312908__sobral/
Northeast,Sobral,10,19,39193,188233,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/cear%C3%A1/2312908__sobral/
Northeast,Sobral,20,29,39573,188233,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/cear%C3%A1/2312908__sobral/
Northeast,Sobral,30,39,28597,188233,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/cear%C3%A1/2312908__sobral/
Northeast,Sobral,40,49,21694,188233,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/cear%C3%A1/2312908__sobral/
Northeast,Sobral,50,59,13229,188233,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/cear%C3%A1/2312908__sobral/
Northeast,Sobral,60,69,8788,188233,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/cear%C3%A1/2312908__sobral/
Northeast,Sobral,70,79,5044,188233,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/cear%C3%A1/2312908__sobral/
Northeast,Sobral,80,89,2684,188233,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/cear%C3%A1/2312908__sobral/
South,Ponta Grossa,0,9,48075,311611,https://www.citypopulation.de/en/brazil/regiaosud/admin/paran%C3%A1/4119905__ponta_grossa/
South,Ponta Grossa,10,19,56943,311611,https://www.citypopulation.de/en/brazil/regiaosud/admin/paran%C3%A1/4119905__ponta_grossa/
South,Ponta Grossa,20,29,53572,311611,https://www.citypopulation.de/en/brazil/regiaosud/admin/paran%C3%A1/4119905__ponta_grossa/
South,Ponta Grossa,30,39,48407,311611,https://www.citypopulation.de/en/brazil/regiaosud/admin/paran%C3%A1/4119905__ponta_grossa/
South,Ponta Grossa,40,49,41151,311611,https://www.citypopulation.de/en/brazil/regiaosud/admin/paran%C3%A1/4119905__ponta_grossa/
South,Ponta Grossa,50,59,31143,311611,https://www.citypopulation.de/en/brazil/regiaosud/admin/paran%C3%A1/4119905__ponta_grossa/
South,Ponta Grossa,60,69,18539,311611,https://www.citypopulation.de/en/brazil/regiaosud/admin/paran%C3%A1/4119905__ponta_grossa/
South,Ponta Grossa,70,79,9672,311611,https://www.citypopulation.de/en/brazil/regiaosud/admin/paran%C3%A1/4119905__ponta_grossa/
South,Ponta Grossa,80,89,4109,311611,https://www.citypopulation.de/en/brazil/regiaosud/admin/paran%C3%A1/4119905__ponta_grossa/
Northeast,Maceio,0,9,147475,932748,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/alagoas/2704302__macei%C3%B3/
Northeast,Maceio,10,19,169451,932748,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/alagoas/2704302__macei%C3%B3/
Northeast,Maceio,20,29,174543,932748,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/alagoas/2704302__macei%C3%B3/
Northeast,Maceio,30,39,155538,932748,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/alagoas/2704302__macei%C3%B3/
Northeast,Maceio,40,49,123535,932748,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/alagoas/2704302__macei%C3%B3/
Northeast,Maceio,50,59,83119,932748,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/alagoas/2704302__macei%C3%B3/
Northeast,Maceio,60,69,46014,932748,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/alagoas/2704302__macei%C3%B3/
Northeast,Maceio,70,79,22598,932748,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/alagoas/2704302__macei%C3%B3/
Northeast,Maceio,80,89,10475,932748,https://www.citypopulation.de/en/brazil/regiaonordeste/admin/alagoas/2704302__macei%C3%B3/
Southeast,Vitoria,0,9,39490,327801,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/esp%C3%ADrito_santo/3205309__vit%C3%B3ria/
Southeast,Vitoria,10,19,49012,327801,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/esp%C3%ADrito_santo/3205309__vit%C3%B3ria/
Southeast,Vitoria,20,29,63399,327801,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/esp%C3%ADrito_santo/3205309__vit%C3%B3ria/
Southeast,Vitoria,30,39,51917,327801,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/esp%C3%ADrito_santo/3205309__vit%C3%B3ria/
Southeast,Vitoria,40,49,45584,327801,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/esp%C3%ADrito_santo/3205309__vit%C3%B3ria/
Southeast,Vitoria,50,59,38929,327801,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/esp%C3%ADrito_santo/3205309__vit%C3%B3ria/
Southeast,Vitoria,60,69,21340,327801,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/esp%C3%ADrito_santo/3205309__vit%C3%B3ria/
Southeast,Vitoria,70,79,12033,327801,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/esp%C3%ADrito_santo/3205309__vit%C3%B3ria/
Southeast,Vitoria,80,89,6097,327801,https://www.citypopulation.de/en/brazil/regiaosudeste/admin/esp%C3%ADrito_santo/3205309__vit%C3%B3ria/
