Region,State,Age_Group,Sex,Population
North,RO,0-5,M,71586
North,RO,5-10,M,69560
North,RO,10-15,M,70266
North,RO,15-20,M,76484
North,RO,20-25,M,79509
North,RO,25-30,M,78871
North,RO,30-35,M,78422
North,RO,35-40,M,74905
North,RO,40-45,M,66545
North,RO,45-50,M,56831
North,RO,50-55,M,51997
North,RO,55-60,M,43973
North,RO,60-65,M,33258
North,RO,65-70,M,23038
North,RO,70-75,M,15009
North,RO,75-80,M,9093
North,RO,80-85,M,5255
North,RO,85-90,M,2327
North,RO,90+,M,1240
North,RO,0-5,F,68339
North,RO,5-10,F,66378
North,RO,10-15,F,67020
North,RO,15-20,F,73504
North,RO,20-25,F,77092
North,RO,25-30,F,78121
North,RO,30-35,F,76628
North,RO,35-40,F,74691
North,RO,40-45,F,67166
North,RO,45-50,F,58596
North,RO,50-55,F,50381
North,RO,55-60,F,41457
North,RO,60-65,F,31993
North,RO,65-70,F,23135
North,RO,70-75,F,14901
North,RO,75-80,F,9485
North,RO,80-85,F,5377
North,RO,85-90,F,2580
North,RO,90+,F,1447
North,AC,0-5,M,42476
North,AC,5-10,M,43387
North,AC,10-15,M,45549
North,AC,15-20,M,47019
North,AC,20-25,M,44217
North,AC,25-30,M,38048
North,AC,30-35,M,34758
North,AC,35-40,M,32843
North,AC,40-45,M,28431
North,AC,45-50,M,22995
North,AC,50-55,M,18924
North,AC,55-60,M,14600
North,AC,60-65,M,11434
North,AC,65-70,M,8620
North,AC,70-75,M,6023
North,AC,75-80,M,3860
North,AC,80-85,M,2227
North,AC,85-90,M,1169
North,AC,90+,M,740
North,AC,0-5,F,40507
North,AC,5-10,F,41477
North,AC,10-15,F,43925
North,AC,15-20,F,45538
North,AC,20-25,F,43258
North,AC,25-30,F,38432
North,AC,30-35,F,35075
North,AC,35-40,F,33865
North,AC,40-45,F,29686
North,AC,45-50,F,23686
North,AC,50-55,F,19599
North,AC,55-60,F,15028
North,AC,60-65,F,11958
North,AC,65-70,F,9015
North,AC,70-75,F,6382
North,AC,75-80,F,4639
North,AC,80-85,F,2736
North,AC,85-90,F,1418
North,AC,90+,F,926
North,AM,0-5,M,206480
North,AM,5-10,M,208071
North,AM,10-15,M,203933
North,AM,15-20,M,197868
North,AM,20-25,M,204323
North,AM,25-30,M,183809
North,AM,30-35,M,170665
North,AM,35-40,M,159925
North,AM,40-45,M,139640
North,AM,45-50,M,113517
North,AM,50-55,M,94307
North,AM,55-60,M,74524
North,AM,60-65,M,56217
North,AM,65-70,M,39956
North,AM,70-75,M,25993
North,AM,75-80,M,16721
North,AM,80-85,M,9299
North,AM,85-90,M,4517
North,AM,90+,M,2363
North,AM,0-5,F,197336
North,AM,5-10,F,198897
North,AM,10-15,F,195244
North,AM,15-20,F,190329
North,AM,20-25,F,200904
North,AM,25-30,F,186407
North,AM,30-35,F,171905
North,AM,35-40,F,161973
North,AM,40-45,F,141915
North,AM,45-50,F,114640
North,AM,50-55,F,91513
North,AM,55-60,F,73766
North,AM,60-65,F,57643
North,AM,65-70,F,42377
North,AM,70-75,F,28894
North,AM,75-80,F,19329
North,AM,80-85,F,11975
North,AM,85-90,F,6368
North,AM,90+,F,4171
North,RR,0-5,M,30420
North,RR,5-10,M,28355
North,RR,10-15,M,27243
North,RR,15-20,M,27174
North,RR,20-25,M,31733
North,RR,25-30,M,33377
North,RR,30-35,M,31403
North,RR,35-40,M,28172
North,RR,40-45,M,22877
North,RR,45-50,M,17867
North,RR,50-55,M,14335
North,RR,55-60,M,11385
North,RR,60-65,M,8405
North,RR,65-70,M,5940
North,RR,70-75,M,3899
North,RR,75-80,M,2117
North,RR,80-85,M,1109
North,RR,85-90,M,467
North,RR,90+,M,217
North,RR,0-5,F,29009
North,RR,5-10,F,27144
North,RR,10-15,F,26293
North,RR,15-20,F,26264
North,RR,20-25,F,29183
North,RR,25-30,F,29684
North,RR,30-35,F,27811
North,RR,35-40,F,25891
North,RR,40-45,F,21331
North,RR,45-50,F,16589
North,RR,50-55,F,13104
North,RR,55-60,F,10566
North,RR,60-65,F,8076
North,RR,65-70,F,5662
North,RR,70-75,F,3667
North,RR,75-80,F,2188
North,RR,80-85,F,1277
North,RR,85-90,F,620
North,RR,90+,F,327
North,PA,0-5,M,366755
North,PA,5-10,M,373651
North,PA,10-15,M,402480
North,PA,15-20,M,412106
North,PA,20-25,M,415784
North,PA,25-30,M,382715
North,PA,30-35,M,362389
North,PA,35-40,M,341196
North,PA,40-45,M,299664
North,PA,45-50,M,248902
North,PA,50-55,M,207905
North,PA,55-60,M,164448
North,PA,60-65,M,131093
North,PA,65-70,M,97428
North,PA,70-75,M,66012
North,PA,75-80,M,42858
North,PA,80-85,M,23931
North,PA,85-90,M,11300
North,PA,90+,M,6034
North,PA,0-5,F,350512
North,PA,5-10,F,357239
North,PA,10-15,F,385216
North,PA,15-20,F,395459
North,PA,20-25,F,404363
North,PA,25-30,F,383100
North,PA,30-35,F,368149
North,PA,35-40,F,350405
North,PA,40-45,F,302540
North,PA,45-50,F,249454
North,PA,50-55,F,206863
North,PA,55-60,F,165710
North,PA,60-65,F,134481
North,PA,65-70,F,102483
North,PA,70-75,F,71797
North,PA,75-80,F,50144
North,PA,80-85,F,30348
North,PA,85-90,F,15988
North,PA,90+,F,9843
North,AP,0-5,M,41039
North,AP,5-10,M,41211
North,AP,10-15,M,41305
North,AP,15-20,M,42614
North,AP,20-25,M,41958
North,AP,25-30,M,39514
North,AP,30-35,M,36746
North,AP,35-40,M,32957
North,AP,40-45,M,27963
North,AP,45-50,M,23525
North,AP,50-55,M,18868
North,AP,55-60,M,14472
North,AP,60-65,M,11020
North,AP,65-70,M,7470
North,AP,70-75,M,4589
