date,georegion,deaths
15/10/2020,DNK,677
14/10/2020,DNK,677
13/10/2020,DNK,676
12/10/2020,DNK,675
11/10/2020,DNK,672
10/10/2020,DNK,670
09/10/2020,DNK,667
08/10/2020,DNK,666
07/10/2020,DNK,664
06/10/2020,DNK,663
05/10/2020,DNK,663
04/10/2020,DNK,661
03/10/2020,DNK,658
02/10/2020,DNK,655
01/10/2020,DNK,653
30/09/2020,DNK,651
29/09/2020,DNK,651
28/09/2020,DNK,650
27/09/2020,DNK,649
26/09/2020,DNK,649
25/09/2020,DNK,648
24/09/2020,DNK,647
23/09/2020,DNK,645
22/09/2020,DNK,644
21/09/2020,DNK,642
20/09/2020,DNK,641
19/09/2020,DNK,638
18/09/2020,DNK,635
17/09/2020,DNK,635
16/09/2020,DNK,635
15/09/2020,DNK,634
14/09/2020,DNK,633
13/09/2020,DNK,633
12/09/2020,DNK,631
11/09/2020,DNK,630
10/09/2020,DNK,629
09/09/2020,DNK,629
08/09/2020,DNK,628
07/09/2020,DNK,628
06/09/2020,DNK,628
05/09/2020,DNK,627
04/09/2020,DNK,627
03/09/2020,DNK,627
02/09/2020,DNK,626
01/09/2020,DNK,626
31/08/2020,DNK,626
30/08/2020,DNK,624
29/08/2020,DNK,624
28/08/2020,DNK,624
27/08/2020,DNK,624
26/08/2020,DNK,624
25/08/2020,DNK,624
24/08/2020,DNK,623
23/08/2020,DNK,623
22/08/2020,DNK,623
21/08/2020,DNK,622
20/08/2020,DNK,621
19/08/2020,DNK,621
18/08/2020,DNK,621
17/08/2020,DNK,621
16/08/2020,DNK,621
15/08/2020,DNK,621
14/08/2020,DNK,621
13/08/2020,DNK,621
12/08/2020,DNK,621
11/08/2020,DNK,621
10/08/2020,DNK,621
09/08/2020,DNK,620
08/08/2020,DNK,618
07/08/2020,DNK,617
06/08/2020,DNK,617
05/08/2020,DNK,617
04/08/2020,DNK,616
03/08/2020,DNK,616
02/08/2020,DNK,616
01/08/2020,DNK,616
31/07/2020,DNK,616
30/07/2020,DNK,615
29/07/2020,DNK,615
28/07/2020,DNK,614
27/07/2020,DNK,613
26/07/2020,DNK,613
25/07/2020,DNK,613
24/07/2020,DNK,613
23/07/2020,DNK,613
22/07/2020,DNK,613
21/07/2020,DNK,611
20/07/2020,DNK,611
19/07/2020,DNK,611
18/07/2020,DNK,611
17/07/2020,DNK,611
16/07/2020,DNK,610
15/07/2020,DNK,610
14/07/2020,DNK,610
13/07/2020,DNK,610
12/07/2020,DNK,610
11/07/2020,DNK,610
10/07/2020,DNK,610
09/07/2020,DNK,609
08/07/2020,DNK,609
07/07/2020,DNK,609
06/07/2020,DNK,609
05/07/2020,DNK,607
04/07/2020,DNK,607
03/07/2020,DNK,606
02/07/2020,DNK,606
01/07/2020,DNK,606
30/06/2020,DNK,606
29/06/2020,DNK,606
28/06/2020,DNK,606
27/06/2020,DNK,605
26/06/2020,DNK,605
25/06/2020,DNK,605
24/06/2020,DNK,604
23/06/2020,DNK,604
22/06/2020,DNK,603
21/06/2020,DNK,603
20/06/2020,DNK,603
19/06/2020,DNK,602
18/06/2020,DNK,601
17/06/2020,DNK,600
16/06/2020,DNK,599
15/06/2020,DNK,598
14/06/2020,DNK,598
13/06/2020,DNK,597
12/06/2020,DNK,597
11/06/2020,DNK,594
10/06/2020,DNK,593
09/06/2020,DNK,593
08/06/2020,DNK,593
07/06/2020,DNK,593
06/06/2020,DNK,591
05/06/2020,DNK,588
04/06/2020,DNK,586
03/06/2020,DNK,582
02/06/2020,DNK,581
01/06/2020,DNK,580
31/05/2020,DNK,577
30/05/2020,DNK,575
29/05/2020,DNK,571
28/05/2020,DNK,570
27/05/2020,DNK,570
26/05/2020,DNK,569
25/05/2020,DNK,566
24/05/2020,DNK,566
23/05/2020,DNK,565
22/05/2020,DNK,564
21/05/2020,DNK,563
20/05/2020,DNK,563
19/05/2020,DNK,558
18/05/2020,DNK,556
17/05/2020,DNK,553
16/05/2020,DNK,550
15/05/2020,DNK,547
14/05/2020,DNK,541
13/05/2020,DNK,541
12/05/2020,DNK,536
11/05/2020,DNK,529
10/05/2020,DNK,525
09/05/2020,DNK,520
08/05/2020,DNK,517
07/05/2020,DNK,513
06/05/2020,DNK,507
05/05/2020,DNK,501
04/05/2020,DNK,498
03/05/2020,DNK,491
02/05/2020,DNK,482
01/05/2020,DNK,474
30/04/2020,DNK,463
29/04/2020,DNK,454
28/04/2020,DNK,445
27/04/2020,DNK,435
26/04/2020,DNK,426
25/04/2020,DNK,421
24/04/2020,DNK,416
23/04/2020,DNK,410
22/04/2020,DNK,400
21/04/2020,DNK,386
20/04/2020,DNK,374
19/04/2020,DNK,367
18/04/2020,DNK,361
17/04/2020,DNK,351
16/04/2020,DNK,342
15/04/2020,DNK,330
14/04/2020,DNK,320
13/04/2020,DNK,308
12/04/2020,DNK,292
11/04/2020,DNK,281
10/04/2020,DNK,270
09/04/2020,DNK,254
08/04/2020,DNK,241
07/04/2020,DNK,226
06/04/2020,DNK,214
05/04/2020,DNK,197
04/04/2020,DNK,185
03/04/2020,DNK,170
02/04/2020,DNK,150
01/04/2020,DNK,132
31/03/2020,DNK,110
30/03/2020,DNK,95
29/03/2020,DNK,84
28/03/2020,DNK,76
27/03/2020,DNK,67
26/03/2020,DNK,55
25/03/2020,DNK,43
24/03/2020,DNK,37
23/03/2020,DNK,31
22/03/2020,DNK,25
21/03/2020,DNK,22
20/03/2020,DNK,19
19/03/2020,DNK,15
18/03/2020,DNK,10
17/03/2020,DNK,6
16/03/2020,DNK,5
15/03/2020,DNK,4
14/03/2020,DNK,2
13/03/2020,DNK,1
12/03/2020,DNK,1
11/03/2020,DNK,1
