date,georegion,deaths
13/10/2020,NLD,6625
12/10/2020,NLD,6625
11/10/2020,NLD,6620
10/10/2020,NLD,6610
09/10/2020,NLD,6597
08/10/2020,NLD,6578
07/10/2020,NLD,6565
06/10/2020,NLD,6555
05/10/2020,NLD,6534
04/10/2020,NLD,6511
03/10/2020,NLD,6497
02/10/2020,NLD,6476
01/10/2020,NLD,6465
30/09/2020,NLD,6452
29/09/2020,NLD,6434
28/09/2020,NLD,6420
27/09/2020,NLD,6410
26/09/2020,NLD,6400
25/09/2020,NLD,6390
24/09/2020,NLD,6375
23/09/2020,NLD,6360
22/09/2020,NLD,6355
21/09/2020,NLD,6340
20/09/2020,NLD,6329
19/09/2020,NLD,6324
18/09/2020,NLD,6316
17/09/2020,NLD,6310
16/09/2020,NLD,6302
15/09/2020,NLD,6297
14/09/2020,NLD,6296
13/09/2020,NLD,6296
12/09/2020,NLD,6294
11/09/2020,NLD,6287
10/09/2020,NLD,6283
09/09/2020,NLD,6281
08/09/2020,NLD,6279
07/09/2020,NLD,6277
06/09/2020,NLD,6276
05/09/2020,NLD,6274
04/09/2020,NLD,6272
03/09/2020,NLD,6268
02/09/2020,NLD,6267
01/09/2020,NLD,6266
31/08/2020,NLD,6263
30/08/2020,NLD,6260
29/08/2020,NLD,6255
28/08/2020,NLD,6253
27/08/2020,NLD,6248
26/08/2020,NLD,6248
25/08/2020,NLD,6243
24/08/2020,NLD,6241
23/08/2020,NLD,6238
22/08/2020,NLD,6234
21/08/2020,NLD,6232
20/08/2020,NLD,6228
19/08/2020,NLD,6221
18/08/2020,NLD,6219
17/08/2020,NLD,6216
16/08/2020,NLD,6211
15/08/2020,NLD,6209
14/08/2020,NLD,6204
13/08/2020,NLD,6200
12/08/2020,NLD,6196
11/08/2020,NLD,6193
10/08/2020,NLD,6190
09/08/2020,NLD,6185
08/08/2020,NLD,6183
07/08/2020,NLD,6182
06/08/2020,NLD,6182
05/08/2020,NLD,6182
04/08/2020,NLD,6180
03/08/2020,NLD,6180
02/08/2020,NLD,6180
01/08/2020,NLD,6180
31/07/2020,NLD,6180
30/07/2020,NLD,6179
29/07/2020,NLD,6178
28/07/2020,NLD,6177
27/07/2020,NLD,6175
26/07/2020,NLD,6171
25/07/2020,NLD,6170
24/07/2020,NLD,6170
23/07/2020,NLD,6170
22/07/2020,NLD,6169
21/07/2020,NLD,6166
20/07/2020,NLD,6166
19/07/2020,NLD,6164
18/07/2020,NLD,6163
17/07/2020,NLD,6163
16/07/2020,NLD,6162
15/07/2020,NLD,6162
14/07/2020,NLD,6159
13/07/2020,NLD,6157
12/07/2020,NLD,6157
11/07/2020,NLD,6155
10/07/2020,NLD,6155
09/07/2020,NLD,6154
08/07/2020,NLD,6154
07/07/2020,NLD,6154
06/07/2020,NLD,6151
05/07/2020,NLD,6151
04/07/2020,NLD,6148
03/07/2020,NLD,6148
02/07/2020,NLD,6145
01/07/2020,NLD,6145
30/06/2020,NLD,6142
29/06/2020,NLD,6140
28/06/2020,NLD,6139
27/06/2020,NLD,6137
26/06/2020,NLD,6134
25/06/2020,NLD,6132
24/06/2020,NLD,6132
23/06/2020,NLD,6130
22/06/2020,NLD,6129
21/06/2020,NLD,6128
20/06/2020,NLD,6123
19/06/2020,NLD,6122
18/06/2020,NLD,6120
17/06/2020,NLD,6115
16/06/2020,NLD,6111
15/06/2020,NLD,6108
14/06/2020,NLD,6103
13/06/2020,NLD,6099
12/06/2020,NLD,6098
11/06/2020,NLD,6091
10/06/2020,NLD,6086
09/06/2020,NLD,6079
08/06/2020,NLD,6074
07/06/2020,NLD,6069
06/06/2020,NLD,6060
05/06/2020,NLD,6052
04/06/2020,NLD,6042
03/06/2020,NLD,6034
02/06/2020,NLD,6028
01/06/2020,NLD,6020
31/05/2020,NLD,6013
30/05/2020,NLD,5999
29/05/2020,NLD,5988
28/05/2020,NLD,5977
27/05/2020,NLD,5972
26/05/2020,NLD,5956
25/05/2020,NLD,5937
24/05/2020,NLD,5922
23/05/2020,NLD,5909
22/05/2020,NLD,5891
21/05/2020,NLD,5871
20/05/2020,NLD,5860
19/05/2020,NLD,5838
18/05/2020,NLD,5817
17/05/2020,NLD,5802
16/05/2020,NLD,5786
15/05/2020,NLD,5767
14/05/2020,NLD,5744
13/05/2020,NLD,5722
12/05/2020,NLD,5696
11/05/2020,NLD,5662
10/05/2020,NLD,5629
09/05/2020,NLD,5604
08/05/2020,NLD,5565
07/05/2020,NLD,5525
06/05/2020,NLD,5481
05/05/2020,NLD,5428
04/05/2020,NLD,5393
03/05/2020,NLD,5335
02/05/2020,NLD,5290
01/05/2020,NLD,5235
30/04/2020,NLD,5182
29/04/2020,NLD,5116
28/04/2020,NLD,5057
27/04/2020,NLD,4986
26/04/2020,NLD,4911
25/04/2020,NLD,4833
24/04/2020,NLD,4752
23/04/2020,NLD,4659
22/04/2020,NLD,4554
21/04/2020,NLD,4436
20/04/2020,NLD,4306
19/04/2020,NLD,4210
18/04/2020,NLD,4096
17/04/2020,NLD,3978
16/04/2020,NLD,3849
15/04/2020,NLD,3712
14/04/2020,NLD,3589
13/04/2020,NLD,3457
12/04/2020,NLD,3328
11/04/2020,NLD,3184
10/04/2020,NLD,3042
09/04/2020,NLD,2884
08/04/2020,NLD,2765
07/04/2020,NLD,2615
06/04/2020,NLD,2462
05/04/2020,NLD,2294
04/04/2020,NLD,2131
03/04/2020,NLD,1959
02/04/2020,NLD,1788
01/04/2020,NLD,1611
31/03/2020,NLD,1449
30/03/2020,NLD,1274
29/03/2020,NLD,1121
28/03/2020,NLD,998
27/03/2020,NLD,845
26/03/2020,NLD,731
25/03/2020,NLD,607
24/03/2020,NLD,493
23/03/2020,NLD,417
22/03/2020,NLD,331
21/03/2020,NLD,270
20/03/2020,NLD,206
19/03/2020,NLD,150
18/03/2020,NLD,106
17/03/2020,NLD,87
16/03/2020,NLD,64
15/03/2020,NLD,40
14/03/2020,NLD,26
13/03/2020,NLD,16
12/03/2020,NLD,10
11/03/2020,NLD,7
10/03/2020,NLD,5
09/03/2020,NLD,4
08/03/2020,NLD,4
07/03/2020,NLD,2
06/03/2020,NLD,1
05/03/2020,NLD,0
04/03/2020,NLD,0
03/03/2020,NLD,0
02/03/2020,NLD,0
01/03/2020,NLD,0
29/02/2020,NLD,0
28/02/2020,NLD,0
27/02/2020,NLD,0
