region,age,population,https://www.citypopulation.de/en/italy/,,
Veneto,60-69 years,605552,,,
Veneto,70-79 years,495674,,,
Veneto,80-89 years,293587,,,
Veneto,90+ years,65582,,,
Friuli-Venenzia Giulia,0-9 years,90341,,,
Friuli-Venenzia Giulia,10-19 years,106513,,,
Friuli-Venenzia Giulia,20-29 years,110088,,,
Friuli-Venenzia Giulia,30-39 years,126652,,,
Friuli-Venenzia Giulia,40-49 years,179603,,,
Friuli-Venenzia Giulia,50-59 years,196787,,,
Friuli-Venenzia Giulia,60-69 years,156221,,,
Friuli-Venenzia Giulia,70-79 years,141584,,,
Friuli-Venenzia Giulia,80-89 years,83377,,,
Friuli-Venenzia Giulia,90+ years,20191,,,
Emilia-Romagna,0-9 years,368092,,,
Emilia-Romagna,10-19 years,409864,,,
Emilia-Romagna,20-29 years,421938,,,
Emilia-Romagna,30-39 years,503751,,,
Emilia-Romagna,40-49 years,694556,,,
Emilia-Romagna,50-59 years,703876,,,
Emilia-Romagna,60-69 years,541533,,,
Emilia-Romagna,70-79 years,455644,,,
Emilia-Romagna,80-89 years,296476,,,
Emilia-Romagna,90+ years,71388,,,
Toscana,0-9 years,285974,,,
Toscana,10-19 years,333503,,,
Toscana,20-29 years,343558,,,
Toscana,30-39 years,407279,,,
Toscana,40-49 years,562173,,,
Toscana,50-59 years,591304,,,
Toscana,60-69 years,465935,,,
Toscana,70-79 years,411597,,,
Toscana,80-89 years,260347,,,
Toscana,90+ years,61059,,,
Umbria,0-9 years,67584,,,
Umbria,10-19 years,79317,,,
Umbria,20-29 years,82520,,,
Umbria,30-39 years,98822,,,
Umbria,40-49 years,129567,,,
Umbria,50-59 years,136813,,,
Umbria,60-69 years,111593,,,
Umbria,70-79 years,95679,,,
Umbria,80-89 years,63174,,,
Umbria,90+ years,15216,,,
Marche,0-9 years,118867,,,
Marche,10-19 years,138729,,,
Marche,20-29 years,147596,,,
Marche,30-39 years,167678,,,
Marche,40-49 years,225536,,,
Marche,50-59 years,236922,,,
Marche,60-69 years,193568,,,
Marche,70-79 years,156094,,,
Marche,80-89 years,107860,,,
Marche,90+ years,25550,,,
Lazio,0-9 years,490976,,,
Lazio,10-19 years,549672,,,
Lazio,20-29 years,576333,,,
Lazio,30-39 years,701238,,,
Lazio,40-49 years,926917,,,
Lazio,50-59 years,949763,,,
Lazio,60-69 years,707790,,,
Lazio,70-79 years,558507,,,
Lazio,80-89 years,334592,,,
Lazio,90+ years,69756,,,
Abruzzo,0-9 years,101988,,,
Abruzzo,10-19 years,116730,,,
Abruzzo,20-29 years,131486,,,
Abruzzo,30-39 years,152671,,,
Abruzzo,40-49 years,192105,,,
Abruzzo,50-59 years,205919,,,
Abruzzo,60-69 years,168945,,,
Abruzzo,70-79 years,131379,,,
Abruzzo,80-89 years,84951,,,
Abruzzo,90+ years,19596,,,
Molise,0-9 years,21408,,,
Molise,10-19 years,25869,,,
Molise,20-29 years,32343,,,
Molise,30-39 years,34938,,,
Molise,40-49 years,42495,,,
Molise,50-59 years,47677,,,
Molise,60-69 years,40724,,,
Molise,70-79 years,30443,,,
Molise,80-89 years,21134,,,
Molise,90+ years,5234,,,
Campania,0-9 years,518990,,,
Campania,10-19 years,635355,,,
Campania,20-29 years,702681,,,
Campania,30-39 years,725759,,,
Campania,40-49 years,847213,,,
Campania,50-59 years,879787,,,
Campania,60-69 years,679018,,,
Campania,70-79 years,489743,,,
Campania,80-89 years,257853,,,
Campania,90+ years,49462,,,
Puglia,0-9 years,322843,,,
Puglia,10-19 years,401719,,,
Puglia,20-29 years,445693,,,
Puglia,30-39 years,468059,,,
Puglia,40-49 years,591616,,,
Puglia,50-59 years,613901,,,
Puglia,60-69 years,497428,,,
Puglia,70-79 years,395602,,,
Puglia,80-89 years,225027,,,
Puglia,90+ years,46408,,,
Basilicata,0-9 years,40790,,,
Basilicata,10-19 years,51870,,,
Basilicata,20-29 years,61658,,,
Basilicata,30-39 years,65748,,,
