Region,State_Code,City,Tested,Positive,Unadjusted Prevalence,Adjusted Prevalence,,,,,,,,,,,,,,,,
North,PA,BREVES,250,53,21.200,NA,,,,,,,,,,,,,,,,
North,AM,TEFÉ,250,42,16.800,NA,,,,,,,,,,,,,,,,
North,PA,CASTANHAL,250,33,13.200,NA,,,,States,,,Regions,,,,,,,,,
North,PA,BELÉM,247,32,12.955,NA,,,,AC,Acre,,North,Acre,Amapa,Amazonas,Rondonia,Roraima,Para,Tocatins,,
North,AM,MANAUS,250,27,10.800,NA,,,,AL,Alagoas,,Northeast,Alagoas,Bahia,Ceara,Maranhao,Pernambuco,Piau,Paraiba,Rio Grande de Norte,Sergipe
North,AP,MACAPÁ,250,21,8.400,NA,,,,AP,Amapa,,Central-West,Federal District,Goias,Mato Grosso,Mato Grosso do Sul,,,,,
Northeast,CE,FORTALEZA,225,17,7.556,NA,,,,AM,Amazonas,,Southeast,Espirito Santo,Minas Gerais,Rio de Janeiro,Sao Paolo,,,,,
North,PA,MARABÁ,250,18,7.200,NA,,,,BA,Bahia,,South,Parana,Rio Grande do Sul,Santa Catarina,,,,,,
North,AC,RIO BRANCO,250,12,4.800,NA,,,,CE,Ceara,,,,,,,,,,,
North,AM,PARINTINS,250,11,4.400,NA,,,,DF,Distrito Federal,,,,,,,,,,,
North,RR,BOA VISTA,250,10,4.000,NA,,,,ES,Espirito Santo,,,,,,,,,,,
North,AP,OIAPOQUE,250,8,3.200,NA,,,,GO,Goias,,,,,,,,,,,
Northeast,PE,RECIFE,240,7,2.917,NA,,,,MA,Marahao,,,,,,,,,,,
Southeast,SP,SÃO PAULO,212,6,2.830,NA,,,,MT,Mato Grosso,,,,,,,,,,,
Southeast,RJ,RIO DE JANEIRO,243,5,2.058,NA,,,,MS,Mato Grosso do Sul,,,,,,,,,,,
Northeast,CE,SOBRAL,232,4,1.724,NA,,,,MG,Minas Gerais,,,,,,,,,,,
South,PR,PONTA GROSSA,250,4,1.600,NA,,,,PA,Para,,,,,,,,,,,
Northeast,AL,MACEIÓ,234,3,1.282,NA,,,,PB,Paraiba,,,,,,,,,,,
Southeast,ES,VITÓRIA,250,3,1.200,NA,,,,PE,Pernambuco,,,,,,,,,,,
South,RN,NATAL,229,2,0.873,NA,,,,PI,Piaui,,,,,,,,,,,
Southeast,SP,CAMPINAS,237,2,0.844,NA,,,,PR,Parana,,,,,,,,,,,
Northeast,CE,CRATEÚS,247,2,0.810,NA,,,,RJ,Rio de Janeiro,,,,,,,,,,,
Northeast,MA,BACABAL,250,2,0.800,NA,,,,RN,Rio Grande de Norte,,,,,,,,,,,
South,SC,FLORIANÓPOLIS,223,1,0.448,NA,,,,RO,Rondonia,,,,,,,,,,,
North,PA,ALTAMIRA,232,1,0.431,NA,,,,RR,Roraima,,,,,,,,,,,
Southeast,RJ,PETRÓPOLIS,239,1,0.418,NA,,,,RS,Rio Grande do Sul,,,,,,,,,,,
Southeast,SP,RIBEIRÃO PRETO,239,1,0.418,NA,,,,SC,Santa Catarina,,,,,,,,,,,
Southeast,MG,TEÓFILO OTONI,242,1,0.413,NA,,,,SE,Sergipe,,,,,,,,,,,
South,PR,CASCAVEL,248,1,0.403,NA,,,,SP,Sao Paulo,,,,,,,,,,,
North,AC,CRUZEIRO DO SUL,250,1,0.400,NA,,,,TO,Tocantins,,,,,,,,,,,
Northeast,MA,PRESIDENTE DUTRA,250,1,0.400,NA,,,,,,,,,,,,,,,,
Southeast,MG,JUIZ DE FORA,250,1,0.400,NA,,,,,,,,,,,,,,,,
Southeast,MG,PATOS DE MINAS,250,1,0.400,NA,,,,,,,,,,,,,,,,
Northeast,PI,TERESINA,250,1,0.400,NA,,,,,,,,,,,,,,,,
South,RS,PASSO FUNDO,250,1,0.400,NA,,,,,,,,,,,,,,,,
Northeast,SE,ARACAJU,250,1,0.400,NA,,,,,,,,,,,,,,,,
North,AM,LÁBREA,250,0,0.000,NA,,,,,,,,,,,,,,,,
Northeast,BA,BARREIRAS,250,0,0.000,NA,,,,,,,,,,,,,,,,
Northeast,BA,JUAZEIRO,250,0,0.000,NA,,,,,,,,,,,,,,,,
Northeast,BA,SALVADOR,250,0,0.000,NA,,,,,,,,,,,,,,,,
Southeast,ES,CACHOEIRO DO ITAPEMIRIM,250,0,0.000,NA,,,,,,,,,,,,,,,,
Central-West,GO,IPORÁ,250,0,0.000,NA,,,,,,,,,,,,,,,,
Northeast,MA,CAXIAS,250,0,0.000,NA,,,,,,,,,,,,,,,,
Southeast,MG,MONTES CLAROS,250,0,0.000,NA,,,,,,,,,,,,,,,,
Southeast,MG,POUSO ALEGRE,250,0,0.000,NA,,,,,,,,,,,,,,,,
Southeast,MG,UBERABA,250,0,0.000,NA,,,,,,,,,,,,,,,,
Central-West,MS,CORUMBÁ,250,0,0.000,NA,,,,,,,,,,,,,,,,
North,PA,REDENÇÃO,250,0,0.000,NA,,,,,,,,,,,,,,,,
Northeast,PI,CORRENTE,250,0,0.000,NA,,,,,,,,,,,,,,,,
Northeast,PI,PARNAÍBA,250,0,0.000,NA,,,,,,,,,,,,,,,,
South,PR,GUARAPUAVA,250,0,0.000,NA,,,,,,,,,,,,,,,,
South,PR,MARINGÁ,250,0,0.000,NA,,,,,,,,,,,,,,,,
North,RO,JI-PARANÁ,250,0,0.000,NA,,,,,,,,,,,,,,,,
South,RS,CAXIAS DO SUL,250,0,0.000,NA,,,,,,,,,,,,,,,,
South,RS,SANTA CRUZ DO SUL,250,0,0.000,NA,,,,,,,,,,,,,,,,
South,RS,SANTA MARIA,250,0,0.000,NA,,,,,,,,,,,,,,,,
South,RS,URUGUAIANA,250,0,0.000,NA,,,,,,,,,,,,,,,,
South,SC,CHAPECÓ,250,0,0.000,NA,,,,,,,,,,,,,,,,
South,SC,CRICIÚMA,250,0,0.000,NA,,,,,,,,,,,,,,,,
South,SC,JOINVILLE,250,0,0.000,NA,,,,,,,,,,,,,,,,
Northeast,SE,ITABAIANA,250,0,0.000,NA,,,,,,,,,,,,,,,,
North,TO,GURUPI,250,0,0.000,NA,,,,,,,,,,,,,,,,
South,RS,PORTO ALEGRE,248,0,0.000,NA,,,,,,,,,,,,,,,,
Northeast,PI,SÃO RAIMUNDO NONATO,247,0,0.000,NA,,,,,,,,,,,,,,,,
South,RS,PELOTAS,247,0,0.000,NA,,,,,,,,,,,,,,,,
Northeast,BA,GUANAMBI,245,0,0.000,NA,,,,,,,,,,,,,,,,
Northeast,CE,QUIXADÁ,245,0,0.000,NA,,,,,,,,,,,,,,,,
Southeast,MG,VARGINHA,245,0,0.000,NA,,,,,,,,,,,,,,,,
South,PR,LONDRINA,244,0,0.000,NA,,,,,,,,,,,,,,,,
Central-West,MS,DOURADOS,243,0,0.000,NA,,,,,,,,,,,,,,,,
North,TO,PALMAS,243,0,0.000,NA,,,,,,,,,,,,,,,,
Central-West,GO,ITUMBIARA,241,0,0.000,NA,,,,,,,,,,,,,,,,
Central-West,DF,BRASÍLIA,240,0,0.000,NA,,,,,,,,,,,,,,,,
South,RS,IJUÍ,240,0,0.000,NA,,,,,,,,,,,,,,,,
Northeast,PI,FLORIANO,239,0,0.000,NA,,,,,,,,,,,,,,,,
Southeast,SP,SÃO JOSÉ DO RIO PRETO,239,0,0.000,NA,,,,,,,,,,,,,,,,
North,TO,ARAGUAÍNA,238,0,0.000,NA,,,,,,,,,,,,,,,,
Central-West,GO,GOIÂNIA,235,0,0.000,NA,,,,,,,,,,,,,,,,
Southeast,MG,UBERLÂNDIA,235,0,0.000,NA,,,,,,,,,,,,,,,,
South,SC,LAGES,234,0,0.000,NA,,,,,,,,,,,,,,,,
South,SC,BLUMENAU,232,0,0.000,NA,,,,,,,,,,,,,,,,
Southeast,SP,MARÍLIA,229,0,0.000,NA,,,,,,,,,,,,,,,,
Southeast,SP,BAURU,225,0,0.000,NA,,,,,,,,,,,,,,,,
Northeast,AL,ARAPIRACA,223,0,0.000,NA,,,,,,,,,,,,,,,,
Southeast,ES,COLATINA,222,0,0.000,NA,,,,,,,,,,,,,,,,
South,PR,CURITIBA,217,0,0.000,NA,,,,,,,,,,,,,,,,
Central-West,MT,CÁCERES,208,0,0.000,NA,,,,,,,,,,,,,,,,
Southeast,RJ,VOLTA REDONDA,207,0,0.000,NA,,,,,,,,,,,,,,,,
Central-West,GO,RIO VERDE,201,0,0.000,NA,,,,,,,,,,,,,,,,
Central-West,GO,PORANGATU,200,0,0.000,NA,,,,,,,,,,,,,,,,
North,PA,Santarem,34,NA,NA,3.4,,,,,,,,,,,,,,,,
South,RN,Mossoro,138,NA,NA,3.4,,,,,,,,,,,,,,,,
Northeast,BA,Feira de Santana,66,NA,NA,1.7,,,,,,,,,,,,,,,,
Northeast,MA,Sao Luis,103,NA,NA,1.1,,,,,,,,,,,,,,,,
North,RR,Rorainopolis,151,NA,NA,0.7,,,,,,,,,,,,,,,,
Southeast,RJ,Macae,156,NA,NA,0.7,,,,,,,,,,,,,,,,
North,RO,Porto Velho,173,NA,NA,0.6,,,,,,,,,,,,,,,,
South,SC,Cacador,192,0,NA,NA,,,,,,,,,,,,,,,,
Southeast,SP,Aracatuba,190,0,NA,NA,,,,,,,,,,,,,,,,
Northeast,PB,Joao Pessoa,180,0,NA,NA,,,,,,,,,,,,,,,,
Central-West,GO,Luziania,177,0,NA,NA,,,,,,,,,,,,,,,,
Southeast,MG,Belo Horizonte,168,0,NA,NA,,,,,,,,,,,,,,,,
Southeast,SP,Arararquara,121,0,NA,NA,,,,,,,,,,,,,,,,
Southeast,SP,Presidente Prudente,116,0,NA,NA,,,,,,,,,,,,,,,,
Central-West,MS,Campo Grande,113,0,NA,NA,,,,,,,,,,,,,,,,
Northeast,CE,Juazeiro de North,106,0,NA,NA,,,,,,,,,,,,,,,,
Northeast,BA,Vitoria da Conquista,86,0,NA,NA,,,,,,,,,,,,,,,,
Central-West,MT,Cuiaba,86,0,NA,NA,,,,,,,,,,,,,,,,
Northeast,BA,Santo Antonia de Jesus,86,0,NA,NA,,,,,,,,,,,,,,,,
Southeast,MG,Ipatinga,82,0,NA,NA,,,,,,,,,,,,,,,,
Northeast,BA,Paulo Afonso,66,0,NA,NA,,,,,,,,,,,,,,,,
Northeast,PE,Petrolina,66,0,NA,NA,,,,,,,,,,,,,,,,
Northeast,BA,Itabuna,60,0,NA,NA,,,,,,,,,,,,,,,,
Southeast,MG,Barbacena,56,0,NA,NA,,,,,,,,,,,,,,,,
Southeast,SP,Sao Jose dos Campos,51,0,NA,NA,,,,,,,,,,,,,,,,
Northeast,PB,Patos,42,0,NA,NA,,,,,,,,,,,,,,,,
Northeast,MA,Imperatriz,41,0,NA,NA,,,,,,,,,,,,,,,,
Northeast,BA,Irece,41,0,NA,NA,,,,,,,,,,,,,,,,
Northeast,PB,Campinda Grande,39,0,NA,NA,,,,,,,,,,,,,,,,
Southeast,SP,Sorocaba,39,0,NA,NA,,,,,,,,,,,,,,,,
Northeast,PE,Caruaru,37,0,NA,NA,,,,,,,,,,,,,,,,
Southeast,MG,Governador Valadares,34,0,NA,NA,,,,,,,,,,,,,,,,
Northeast,PE,Serra Talhada,26,0,NA,NA,,,,,,,,,,,,,,,,
Southeast,ES,Sao Mateus,24,0,NA,NA,,,,,,,,,,,,,,,,
Central-West,MT,Sinop,22,0,NA,NA,,,,,,,,,,,,,,,,
Southeast,RJ,Campos dos Goytacazes,21,0,NA,NA,,,,,,,,,,,,,,,,
Southeast,MG,Divinopolis,16,0,NA,NA,,,,,,,,,,,,,,,,
Northeast,PB,Sousa,11,0,NA,NA,,,,,,,,,,,,,,,,
Northeast,CE,Iguatu,9,0,NA,NA,,,,,,,,,,,,,,,,
Central-West,MT,Barra do Garca,7,0,NA,NA,,,,,,,,,,,,,,,,
South,RN,Caico,5,0,NA,NA,,,,,,,,,,,,,,,,
Central-West,MT,Rondonopolis,4,0,NA,NA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
