dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
7/24/20,24,7,2020,13,0,Afghanistan,AF,AFG,38041757,Asia,5.30995453
7/23/20,23,7,2020,188,21,Afghanistan,AF,AFG,38041757,Asia,5.9460976
7/22/20,22,7,2020,112,4,Afghanistan,AF,AFG,38041757,Asia,5.60699654
7/21/20,21,7,2020,140,5,Afghanistan,AF,AFG,38041757,Asia,5.8646082
7/20/20,20,7,2020,174,17,Afghanistan,AF,AFG,38041757,Asia,6.63481448
7/19/20,19,7,2020,12,17,Afghanistan,AF,AFG,38041757,Asia,6.91082696
7/18/20,18,7,2020,219,32,Afghanistan,AF,AFG,38041757,Asia,7.79406692
7/17/20,17,7,2020,76,21,Afghanistan,AF,AFG,38041757,Asia,8.01224823
7/16/20,16,7,2020,254,49,Afghanistan,AF,AFG,38041757,Asia,8.30140416
7/15/20,15,7,2020,285,33,Afghanistan,AF,AFG,38041757,Asia,8.47226904
7/14/20,14,7,2020,4,2,Afghanistan,AF,AFG,38041757,Asia,8.4564969
7/13/20,13,7,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,9.15835722
07/12/2020,12,7,2020,85,16,Afghanistan,AF,AFG,38041757,Asia,10.08102754
07/11/2020,11,7,2020,458,37,Afghanistan,AF,AFG,38041757,Asia,10.29132277
07/10/2020,10,7,2020,255,20,Afghanistan,AF,AFG,38041757,Asia,9.81290112
07/09/2020,9,7,2020,59,1,Afghanistan,AF,AFG,38041757,Asia,10.35178265
07/08/2020,8,7,2020,210,16,Afghanistan,AF,AFG,38041757,Asia,10.81180346
07/07/2020,7,7,2020,433,56,Afghanistan,AF,AFG,38041757,Asia,11.14827583
07/06/2020,6,7,2020,279,38,Afghanistan,AF,AFG,38041757,Asia,10.82494691
07/05/2020,5,7,2020,348,7,Afghanistan,AF,AFG,38041757,Asia,11.16667666
07/04/2020,4,7,2020,302,12,Afghanistan,AF,AFG,38041757,Asia,11.68715735
07/03/2020,3,7,2020,186,33,Afghanistan,AF,AFG,38041757,Asia,11.80281973
07/02/2020,2,7,2020,319,28,Afghanistan,AF,AFG,38041757,Asia,13.04356158
07/01/2020,1,7,2020,279,13,Afghanistan,AF,AFG,38041757,Asia,13.68759072
6/30/20,30,6,2020,271,12,Afghanistan,AF,AFG,38041757,Asia,15.01245066
6/29/20,29,6,2020,351,18,Afghanistan,AF,AFG,38041757,Asia,16.30050894
6/28/20,28,6,2020,165,20,Afghanistan,AF,AFG,38041757,Asia,17.12328902
6/27/20,27,6,2020,276,8,Afghanistan,AF,AFG,38041757,Asia,18.15110695
6/26/20,26,6,2020,460,36,Afghanistan,AF,AFG,38041757,Asia,19.15000929
6/25/20,25,6,2020,234,21,Afghanistan,AF,AFG,38041757,Asia,19.90444343
6/24/20,24,6,2020,338,20,Afghanistan,AF,AFG,38041757,Asia,21.08735409
6/23/20,23,6,2020,310,17,Afghanistan,AF,AFG,38041757,Asia,21.62360692
6/22/20,22,6,2020,409,12,Afghanistan,AF,AFG,38041757,Asia,22.32020987
6/21/20,21,6,2020,546,21,Afghanistan,AF,AFG,38041757,Asia,23.32436959
6/20/20,20,6,2020,346,2,Afghanistan,AF,AFG,38041757,Asia,23.41900244
6/19/20,19,6,2020,658,42,Afghanistan,AF,AFG,38041757,Asia,24.91472726
6/18/20,18,6,2020,564,13,Afghanistan,AF,AFG,38041757,Asia,25.25382831
6/17/20,17,6,2020,783,13,Afghanistan,AF,AFG,38041757,Asia,25.76379424
6/16/20,16,6,2020,761,7,Afghanistan,AF,AFG,38041757,Asia,25.70070567
6/15/20,15,6,2020,664,20,Afghanistan,AF,AFG,38041757,Asia,25.13290856
6/14/20,14,6,2020,556,5,Afghanistan,AF,AFG,38041757,Asia,25.1749676
6/13/20,13,6,2020,656,20,Afghanistan,AF,AFG,38041757,Asia,25.98986161
06/12/2020,12,6,2020,747,21,Afghanistan,AF,AFG,38041757,Asia,25.90311483
06/11/2020,11,6,2020,684,21,Afghanistan,AF,AFG,38041757,Asia,25.46412354
06/10/2020,10,6,2020,542,15,Afghanistan,AF,AFG,38041757,Asia,25.30903081
06/09/2020,9,6,2020,575,12,Afghanistan,AF,AFG,38041757,Asia,25.61395889
06/08/2020,8,6,2020,791,30,Afghanistan,AF,AFG,38041757,Asia,25.65601794
06/07/2020,7,6,2020,582,18,Afghanistan,AF,AFG,38041757,Asia,25.11187903
06/06/2020,6,6,2020,915,9,Afghanistan,AF,AFG,38041757,Asia,25.63761711
06/05/2020,5,6,2020,787,6,Afghanistan,AF,AFG,38041757,Asia,24.65185822
06/04/2020,4,6,2020,758,24,Afghanistan,AF,AFG,38041757,Asia,23.97891349
06/03/2020,3,6,2020,759,5,Afghanistan,AF,AFG,38041757,Asia,23.27968185
06/02/2020,2,6,2020,545,8,Afghanistan,AF,AFG,38041757,Asia,22.81177497
06/01/2020,1,6,2020,680,8,Afghanistan,AF,AFG,38041757,Asia,22.45164439
5/31/20,31,5,2020,866,3,Afghanistan,AF,AFG,38041757,Asia,21.35285181
5/30/20,30,5,2020,623,11,Afghanistan,AF,AFG,38041757,Asia,19.07640596
5/29/20,29,5,2020,580,8,Afghanistan,AF,AFG,38041757,Asia,20.23302972
5/28/20,28,5,2020,625,7,Afghanistan,AF,AFG,38041757,Asia,19.00543132
5/27/20,27,5,2020,658,1,Afghanistan,AF,AFG,38041757,Asia,18.04333065
5/26/20,26,5,2020,591,1,Afghanistan,AF,AFG,38041757,Asia,17.04968569
5/25/20,25,5,2020,584,2,Afghanistan,AF,AFG,38041757,Asia,16.24530644
5/24/20,24,5,2020,782,11,Afghanistan,AF,AFG,38041757,Asia,15.68013801
5/23/20,23,5,2020,540,12,Afghanistan,AF,AFG,38041757,Asia,14.29481819
5/22/20,22,5,2020,531,6,Afghanistan,AF,AFG,38041757,Asia,13.44049382
5/21/20,21,5,2020,492,9,Afghanistan,AF,AFG,38041757,Asia,12.49416529
5/20/20,20,5,2020,581,5,Afghanistan,AF,AFG,38041757,Asia,11.64246962
5/19/20,19,5,2020,408,4,Afghanistan,AF,AFG,38041757,Asia,10.98266833
5/18/20,18,5,2020,262,1,Afghanistan,AF,AFG,38041757,Asia,10.40961384
5/17/20,17,5,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,10.3386392
5/16/20,16,5,2020,1063,32,Afghanistan,AF,AFG,38041757,Asia,10.6908837
5/15/20,15,5,2020,113,6,Afghanistan,AF,AFG,38041757,Asia,8.32769107
5/14/20,14,5,2020,259,3,Afghanistan,AF,AFG,38041757,Asia,8.61421832
5/13/20,13,5,2020,280,5,Afghanistan,AF,AFG,38041757,Asia,8.25408774
05/12/2020,12,5,2020,285,2,Afghanistan,AF,AFG,38041757,Asia,7.84401204
05/11/2020,11,5,2020,369,5,Afghanistan,AF,AFG,38041757,Asia,7.54697003
05/10/2020,10,5,2020,255,6,Afghanistan,AF,AFG,38041757,Asia,6.75573423
05/09/2020,9,5,2020,215,3,Afghanistan,AF,AFG,38041757,Asia,6.37983151
05/08/2020,8,5,2020,171,2,Afghanistan,AF,AFG,38041757,Asia,5.99867141
05/07/2020,7,5,2020,168,9,Afghanistan,AF,AFG,38041757,Asia,5.82517784
05/06/2020,6,5,2020,330,5,Afghanistan,AF,AFG,38041757,Asia,5.60436785
05/05/2020,5,5,2020,190,5,Afghanistan,AF,AFG,38041757,Asia,4.89725015
05/04/2020,4,5,2020,235,13,Afghanistan,AF,AFG,38041757,Asia,4.48980314
05/03/2020,3,5,2020,134,4,Afghanistan,AF,AFG,38041757,Asia,4.10338566
05/02/2020,2,5,2020,164,4,Afghanistan,AF,AFG,38041757,Asia,3.91674864
05/01/2020,1,5,2020,222,4,Afghanistan,AF,AFG,38041757,Asia,3.61970663
4/30/20,30,4,2020,122,0,Afghanistan,AF,AFG,38041757,Asia,3.06242427
4/29/20,29,4,2020,124,3,Afghanistan,AF,AFG,38041757,Asia,2.92573237
4/28/20,28,4,2020,172,0,Afghanistan,AF,AFG,38041757,Asia,2.7285806
4/27/20,27,4,2020,68,10,Afghanistan,AF,AFG,38041757,Asia,2.42890989
4/26/20,26,4,2020,112,4,Afghanistan,AF,AFG,38041757,Asia,2.38685085
4/25/20,25,4,2020,70,1,Afghanistan,AF,AFG,38041757,Asia,2.181813
4/24/20,24,4,2020,105,2,Afghanistan,AF,AFG,38041757,Asia,2.09506622
4/23/20,23,4,2020,84,4,Afghanistan,AF,AFG,38041757,Asia,1.97940384
4/22/20,22,4,2020,61,1,Afghanistan,AF,AFG,38041757,Asia,1.90580051
4/21/20,21,4,2020,35,2,Afghanistan,AF,AFG,38041757,Asia,1.82431111
4/20/20,20,4,2020,88,3,Afghanistan,AF,AFG,38041757,Asia,1.83219718
4/19/20,19,4,2020,63,0,Afghanistan,AF,AFG,38041757,Asia,1.67710445
4/18/20,18,4,2020,51,1,Afghanistan,AF,AFG,38041757,Asia,1.60350112
4/17/20,17,4,2020,10,4,Afghanistan,AF,AFG,38041757,Asia,1.46943791
4/16/20,16,4,2020,70,2,Afghanistan,AF,AFG,38041757,Asia,1.55618469
4/15/20,15,4,2020,49,2,Afghanistan,AF,AFG,38041757,Asia,1.44052232
4/14/20,14,4,2020,58,3,Afghanistan,AF,AFG,38041757,Asia,1.37743375
4/13/20,13,4,2020,52,0,Afghanistan,AF,AFG,38041757,Asia,1.29594435
04/12/2020,12,4,2020,34,3,Afghanistan,AF,AFG,38041757,Asia,1.18028197
04/11/2020,11,4,2020,37,0,Afghanistan,AF,AFG,38041757,Asia,1.13033686
04/10/2020,10,4,2020,61,1,Afghanistan,AF,AFG,38041757,Asia,1.07513436
04/09/2020,9,4,2020,56,3,Afghanistan,AF,AFG,38041757,Asia,0.91478425
04/08/2020,8,4,2020,30,4,Afghanistan,AF,AFG,38041757,Asia,0.85432437
04/07/2020,7,4,2020,38,0,Afghanistan,AF,AFG,38041757,Asia,0.78072104
04/06/2020,6,4,2020,29,2,Afghanistan,AF,AFG,38041757,Asia,0.69660295
04/05/2020,5,4,2020,35,1,Afghanistan,AF,AFG,38041757,Asia,0.64665783
04/04/2020,4,4,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0.55465367
04/03/2020,3,4,2020,43,0,Afghanistan,AF,AFG,38041757,Asia,0.55991105
04/02/2020,2,4,2020,26,0,Afghanistan,AF,AFG,38041757,Asia,0.44687736
04/01/2020,1,4,2020,25,0,Afghanistan,AF,AFG,38041757,Asia,0.37853141
3/31/20,31,3,2020,27,0,Afghanistan,AF,AFG,38041757,Asia,0.31544284
3/30/20,30,3,2020,8,1,Afghanistan,AF,AFG,38041757,Asia,0.25761166
3/29/20,29,3,2020,15,1,Afghanistan,AF,AFG,38041757,Asia,0.25235427
3/28/20,28,3,2020,16,1,Afghanistan,AF,AFG,38041757,Asia,0.22080999
3/27/20,27,3,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0.18663702
3/26/20,26,3,2020,33,0,Afghanistan,AF,AFG,38041757,Asia,0.19452309
3/25/20,25,3,2020,2,0,Afghanistan,AF,AFG,38041757,Asia,0.1077763
3/24/20,24,3,2020,6,1,Afghanistan,AF,AFG,38041757,Asia,0.10251892
3/23/20,23,3,2020,10,0,Afghanistan,AF,AFG,38041757,Asia,0.08674678
3/22/20,22,3,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0.06045988
3/21/20,21,3,2020,2,0,Afghanistan,AF,AFG,38041757,Asia,0.06045988
3/20/20,20,3,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0.0552025
3/19/20,19,3,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0.05783119
3/18/20,18,3,2020,1,0,Afghanistan,AF,AFG,38041757,Asia,0.05783119
3/17/20,17,3,2020,5,0,Afghanistan,AF,AFG,38041757,Asia,0.0552025
3/16/20,16,3,2020,6,0,Afghanistan,AF,AFG,38041757,Asia,0.04205905
3/15/20,15,3,2020,3,0,Afghanistan,AF,AFG,38041757,Asia,0.0262869
03/11/2020,11,3,2020,3,0,Afghanistan,AF,AFG,38041757,Asia,0.01840083
03/08/2020,8,3,2020,3,0,Afghanistan,AF,AFG,38041757,Asia,0.01051476
03/02/2020,2,3,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0.00262869
03/01/2020,1,3,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0.00262869
2/29/20,29,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0.00262869
2/28/20,28,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0.00262869
2/27/20,27,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0.00262869
2/26/20,26,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0.00262869
2/25/20,25,2,2020,1,0,Afghanistan,AF,AFG,38041757,Asia,0.00262869
2/24/20,24,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
2/23/20,23,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
2/22/20,22,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
2/21/20,21,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
2/20/20,20,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
2/19/20,19,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
2/18/20,18,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
2/17/20,17,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
2/16/20,16,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
2/15/20,15,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
2/14/20,14,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
2/13/20,13,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
02/12/2020,12,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
02/11/2020,11,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
02/10/2020,10,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
02/09/2020,9,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
02/08/2020,8,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
02/07/2020,7,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
02/06/2020,6,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
02/05/2020,5,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
02/04/2020,4,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
02/03/2020,3,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
02/02/2020,2,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
02/01/2020,1,2,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
1/31/20,31,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
1/30/20,30,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
1/29/20,29,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
1/28/20,28,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
1/27/20,27,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
1/26/20,26,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
1/25/20,25,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
1/24/20,24,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
1/23/20,23,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
1/22/20,22,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
1/21/20,21,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
1/20/20,20,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
1/19/20,19,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
1/18/20,18,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
1/17/20,17,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
1/16/20,16,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
1/15/20,15,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
1/14/20,14,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
1/13/20,13,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,0
01/12/2020,12,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,
01/11/2020,11,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,
01/10/2020,10,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,
01/09/2020,9,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,
01/08/2020,8,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,
01/07/2020,7,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,
01/06/2020,6,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,
01/05/2020,5,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,
01/04/2020,4,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,
01/03/2020,3,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,
01/02/2020,2,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,
01/01/2020,1,1,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,
12/31/19,31,12,2019,0,0,Afghanistan,AF,AFG,38041757,Asia,
7/24/20,24,7,2020,108,3,Albania,AL,ALB,2862427,Europe,44.64742682
7/23/20,23,7,2020,68,3,Albania,AL,ALB,2862427,Europe,43.73910671
7/22/20,22,7,2020,119,4,Albania,AL,ALB,2862427,Europe,43.73910671
7/21/20,21,7,2020,81,1,Albania,AL,ALB,2862427,Europe,42.16701422
7/20/20,20,7,2020,82,1,Albania,AL,ALB,2862427,Europe,41.81766033
7/19/20,19,7,2020,102,4,Albania,AL,ALB,2862427,Europe,41.53817722
7/18/20,18,7,2020,55,3,Albania,AL,ALB,2862427,Europe,40.31543861
7/17/20,17,7,2020,99,3,Albania,AL,ALB,2862427,Europe,41.53817722
