country	study_id	age_low	age_high	region	gender	population	date	age_breakdown	gender_breakdown	for_regional_analysis	reference
Spain	ESP1	4	5	Aragon	male	6207	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	5	6	Aragon	male	6299	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	6	7	Aragon	male	6259	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	7	8	Aragon	male	6465	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	8	9	Aragon	male	6703	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	9	10	Aragon	male	6821	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	10	11	Aragon	male	7124	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	11	12	Aragon	male	7192	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	12	13	Aragon	male	7007	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	13	14	Aragon	male	6844	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	14	15	Aragon	male	6711	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	15	16	Aragon	male	6662	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	16	17	Aragon	male	6545	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	17	18	Aragon	male	6500	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	18	19	Aragon	male	6549	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	19	20	Aragon	male	6527	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	20	21	Aragon	male	6502	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	21	22	Aragon	male	6444	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	22	23	Aragon	male	6421	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	23	24	Aragon	male	6380	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	24	25	Aragon	male	6372	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	25	26	Aragon	male	6505	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	26	27	Aragon	male	6566	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	27	28	Aragon	male	6538	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	28	29	Aragon	male	6679	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	29	30	Aragon	male	7000	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	30	31	Aragon	male	7197	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	31	32	Aragon	male	7213	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	32	33	Aragon	male	7379	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	33	34	Aragon	male	7761	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	34	35	Aragon	male	8064	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	35	36	Aragon	male	8171	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	36	37	Aragon	male	8432	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	37	38	Aragon	male	9058	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	38	39	Aragon	male	9674	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	39	40	Aragon	male	10089	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	40	41	Aragon	male	10474	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	41	42	Aragon	male	10925	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	42	43	Aragon	male	11199	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	43	44	Aragon	male	11368	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	44	45	Aragon	male	11360	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	45	46	Aragon	male	11086	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	46	47	Aragon	male	10974	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	47	48	Aragon	male	10807	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	48	49	Aragon	male	10678	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	49	50	Aragon	male	10649	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	50	51	Aragon	male	10445	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	51	52	Aragon	male	10333	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	52	53	Aragon	male	10339	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	53	54	Aragon	male	10222	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	54	55	Aragon	male	10264	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	55	56	Aragon	male	10243	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	56	57	Aragon	male	9918	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	57	58	Aragon	male	9594	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	58	59	Aragon	male	9381	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	59	60	Aragon	male	9315	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	60	61	Aragon	male	9118	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	61	62	Aragon	male	8852	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	62	63	Aragon	male	8421	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	63	64	Aragon	male	7989	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	64	65	Aragon	male	7538	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	65	66	Aragon	male	7159	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	66	67	Aragon	male	7144	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	67	68	Aragon	male	6848	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	68	69	Aragon	male	6504	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	69	70	Aragon	male	6511	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	70	71	Aragon	male	6591	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	71	72	Aragon	male	6376	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	72	73	Aragon	male	6000	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	73	74	Aragon	male	5895	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	74	75	Aragon	male	5708	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	75	76	Aragon	male	5367	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	76	77	Aragon	male	4938	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	77	78	Aragon	male	4457	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	78	79	Aragon	male	4397	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	79	80	Aragon	male	3817	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	80	81	Aragon	male	3145	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	81	82	Aragon	male	3365	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	82	83	Aragon	male	3707	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	83	84	Aragon	male	3799	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	84	85	Aragon	male	3520	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	85	86	Aragon	male	3281	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	86	87	Aragon	male	3077	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	87	88	Aragon	male	2742	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	88	89	Aragon	male	2360	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	89	90	Aragon	male	2011	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	90	91	Aragon	male	1620	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	91	92	Aragon	male	1273	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	92	93	Aragon	male	1004	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	93	94	Aragon	male	768	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	94	95	Aragon	male	598	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	95	96	Aragon	male	448	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	96	97	Aragon	male	324	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	97	98	Aragon	male	223	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	98	99	Aragon	male	148	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	99	100	Aragon	male	85	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	100	999	Aragon	male	94	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	0	1	Asturias	male	2763	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	1	2	Asturias	male	3105	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	2	3	Asturias	male	3262	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	3	4	Asturias	male	3402	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	4	5	Asturias	male	3531	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	5	6	Asturias	male	3571	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	6	7	Asturias	male	3819	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	7	8	Asturias	male	4107	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	8	9	Asturias	male	4061	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	9	10	Asturias	male	4174	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	10	11	Asturias	male	4354	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	11	12	Asturias	male	4296	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	12	13	Asturias	male	4259	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	13	14	Asturias	male	4224	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	14	15	Asturias	male	4173	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	15	16	Asturias	male	4078	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	16	17	Asturias	male	3928	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	17	18	Asturias	male	3976	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	18	19	Asturias	male	4080	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	19	20	Asturias	male	4057	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	20	21	Asturias	male	3963	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	21	22	Asturias	male	3919	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	22	23	Asturias	male	3920	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	23	24	Asturias	male	3915	Jul-19	1	1	1	https://www.ine.es/
Spain	ESP1	24	25	Asturias	male	3917	Jul-19	1	1	1	https://www.ine.es/
