Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2020-01-31,GBR,United Kingdom,North East and Yorkshire,54.022719,-1.268789,2,NA,NA,2,NA,NA,False,True,UKC
2020-02-06,GBR,United Kingdom,North East and Yorkshire,54.022719,-1.268789,2,NA,NA,2,NA,NA,False,True,UKC
2020-02-06,GBR,United Kingdom,South East,51.291417,-0.521902,1,NA,NA,1,NA,NA,False,True,UKJ
2020-02-10,GBR,United Kingdom,North East and Yorkshire,54.022719,-1.268789,2,NA,NA,2,NA,NA,False,True,UKC
2020-02-10,GBR,United Kingdom,South East,51.291417,-0.521902,5,NA,NA,5,NA,NA,False,True,UKJ
2020-02-12,GBR,United Kingdom,London,51.497136,-0.100571,1,NA,NA,1,NA,NA,False,True,UKI
2020-02-12,GBR,United Kingdom,North East and Yorkshire,54.022719,-1.268789,2,NA,NA,2,NA,NA,False,True,UKC
2020-02-12,GBR,United Kingdom,South East,51.291417,-0.521902,5,NA,NA,5,NA,NA,False,True,UKJ
2020-02-20,ITA,Italy,Lombardia,45.622479,9.770824,3,NA,NA,3,NA,NA,True,True,ITC4
2020-02-21,ITA,Italy,Lombardia,45.622479,9.770824,20,NA,NA,20,NA,NA,True,True,ITC4
2020-02-21,ITA,Italy,Veneto,45.664735,11.84235,2,NA,NA,2,NA,NA,True,True,ITH3
2020-02-22,ITA,Italy,Emilia-Romagna,44.536563,11.019909,2,NA,NA,2,NA,NA,True,True,ITH5
2020-02-22,ITA,Italy,Lazio,41.981132,12.767224,2,NA,NA,2,NA,NA,True,True,ITI4
2020-02-22,ITA,Italy,Lombardia,45.622479,9.770824,54,NA,NA,54,NA,NA,True,True,ITC4
2020-02-22,ITA,Italy,Piemonte,45.060965,7.926836,1,NA,NA,1,NA,NA,True,True,ITC1
2020-02-22,ITA,Italy,Veneto,45.664735,11.84235,19,NA,NA,19,NA,NA,True,True,ITH3
2020-02-23,ITA,Italy,Emilia-Romagna,44.536563,11.019909,9,NA,NA,9,NA,NA,True,True,ITH5
2020-02-23,ITA,Italy,Lazio,41.981132,12.767224,2,NA,NA,2,NA,NA,True,True,ITI4
2020-02-23,ITA,Italy,Lombardia,45.622479,9.770824,116,NA,NA,116,NA,NA,True,True,ITC4
2020-02-23,ITA,Italy,Piemonte,45.060965,7.926836,3,NA,NA,3,NA,NA,True,True,ITC1
2020-02-23,ITA,Italy,Veneto,45.664735,11.84235,25,NA,NA,25,NA,NA,True,True,ITH3
2020-02-23,GBR,United Kingdom,England,NA,NA,4,NA,NA,4,NA,NA,False,True,UK
2020-02-23,GBR,United Kingdom,London,51.497136,-0.100571,1,NA,NA,1,NA,NA,False,True,UKI
2020-02-23,GBR,United Kingdom,North East and Yorkshire,54.022719,-1.268789,2,NA,NA,2,NA,NA,False,True,UKC
2020-02-23,GBR,United Kingdom,South East,51.291417,-0.521902,5,NA,NA,5,NA,NA,False,True,UKJ
2020-02-24,ITA,Italy,Emilia-Romagna,44.536563,11.019909,18,0,0,18,12,2,True,True,ITH5
2020-02-24,ITA,Italy,Lazio,41.981132,12.767224,3,0,1,2,2,1,True,True,ITI4
2020-02-24,ITA,Italy,Lombardia,45.622479,9.770824,172,6,0,166,95,19,True,True,ITC4
2020-02-24,ITA,Italy,Piemonte,45.060965,7.926836,3,0,0,3,2,0,True,True,ITC1
2020-02-24,ITA,Italy,Veneto,45.664735,11.84235,33,1,0,32,16,4,True,True,ITH3
2020-02-25,ITA,Italy,Bolzano,46.697344,11.417082,1,NA,NA,1,NA,NA,True,True,ITH1
2020-02-25,ITA,Italy,Emilia-Romagna,44.536563,11.019909,26,NA,NA,26,NA,NA,True,True,ITH5
2020-02-25,ITA,Italy,Lazio,41.981132,12.767224,3,NA,1,2,NA,NA,True,True,ITI4
2020-02-25,ITA,Italy,Liguria,44.144781,8.140492,1,NA,NA,1,NA,NA,True,True,ITC3
2020-02-25,ITA,Italy,Lombardia,45.622479,9.770824,240,9,NA,231,NA,NA,True,True,ITC4
2020-02-25,ITA,Italy,Piemonte,45.060965,7.926836,3,NA,NA,3,NA,NA,True,True,ITC1
2020-02-25,ITA,Italy,Sicilia,37.587635,14.155497,3,NA,NA,3,NA,NA,True,True,ITG1
2020-02-25,ITA,Italy,Toscana,43.459993,11.136697,2,NA,NA,2,NA,NA,True,True,ITI1
2020-02-25,ITA,Italy,Veneto,45.664735,11.84235,43,1,NA,42,NA,NA,True,True,ITH3
2020-02-26,ITA,Italy,Bolzano,46.697344,11.417082,1,0,0,1,1,0,True,True,ITH1
2020-02-26,ITA,Italy,Emilia-Romagna,44.536563,11.019909,47,1,0,46,23,3,True,True,ITH5
2020-02-26,ITA,Italy,Lazio,41.981132,12.767224,3,0,3,0,0,0,True,True,ITI4
2020-02-26,ITA,Italy,Liguria,44.144781,8.140492,11,0,0,11,6,0,True,True,ITC3
2020-02-26,ITA,Italy,Lombardia,45.622479,9.770824,258,9,0,249,104,25,True,True,ITC4
2020-02-26,ITA,Italy,Marche,43.366624,13.106678,1,0,0,1,1,0,True,True,ITI3
2020-02-26,ITA,Italy,Piemonte,45.060965,7.926836,3,0,0,3,2,0,True,True,ITC1
2020-02-26,ITA,Italy,Sicilia,37.587635,14.155497,3,0,0,3,1,0,True,True,ITG1
2020-02-26,ITA,Italy,Toscana,43.459993,11.136697,2,0,0,2,2,0,True,True,ITI1
