region,city,cases_100k,deaths_100k,ifr
North,Breves,24960,34,0
North,Tefe,19768,42,0
North,Castanhal,15520,15,0
North,Belem,15231,33,0
North,Manaus,12688,35,0
North,Macapa,9856,11,0
Northeast,Fortaleza,8859,38,0
North,Maraba,8439,9,0
North,Rio Branco,5653,11,0
North,Parintins,5135,32,0.01
North,Boa Vista,4663,6,0
North,Oiapoque,3719,4,0
Northeast,Recife,3399,29,0.01
Southeast,Sao Paulo,3283,20,0.01
Southeast,Rio de Janeiro,2371,20,0.01
Northeast,Sobral,1978,7,0
South,Ponta Grossa,1846,0,0
Northeast,Maceio,1456,10,0.01
Southeast,Vitoria,1359,13,0.01
Northeast,Natal,974,2,0
Southeast,Campinas,943,2,0
Northeast,Crateus,899,3,0
Northeast,Bacabal,895,1,0
South,Florianopolis,472,1,0
North,Altamira,452,2,0
Southeast,Petropolis,437,7,0.02
Southeast,Ribeirao Preto,437,2,0
Southeast,Teofilo Otoni,431,1,0
South,Cascavel,419,2,0
North,Cruzeiro do Sul,415,1,0
Northeast,Presidente Dutra,415,0,0
Southeast,Juiz de Fora,415,3,0.01
Southeast,Patos de Minas,415,1,0
Northeast,Teresina,415,3,0.01
South,Passo Fundo,415,10,0.02
Northeast,Aracaju,415,2,0.01
