date,georegion,deaths
26/02/2020,ESP,1
25/02/2020,ESP,1
24/02/2020,ESP,1
23/02/2020,ESP,1
22/02/2020,ESP,1
21/02/2020,ESP,1
20/02/2020,ESP,1
19/02/2020,ESP,1
18/02/2020,ESP,1
17/02/2020,ESP,1
16/02/2020,ESP,1
15/02/2020,ESP,1
14/02/2020,ESP,1
13/02/2020,ESP,1
