Datum_avliden,Antal_avlidna
11/03/2020,1
12/03/2020,0
13/03/2020,1
14/03/2020,1
15/03/2020,2
16/03/2020,2
17/03/2020,1
18/03/2020,6
19/03/2020,7
20/03/2020,9
21/03/2020,8
22/03/2020,11
23/03/2020,11
24/03/2020,21
25/03/2020,22
26/03/2020,31
27/03/2020,32
28/03/2020,35
29/03/2020,38
30/03/2020,45
31/03/2020,48
01/04/2020,53
02/04/2020,70
03/04/2020,80
04/04/2020,70
05/04/2020,85
06/04/2020,90
07/04/2020,84
08/04/2020,115
09/04/2020,86
10/04/2020,90
11/04/2020,102
12/04/2020,97
13/04/2020,84
14/04/2020,92
15/04/2020,115
16/04/2020,111
17/04/2020,83
18/04/2020,86
19/04/2020,87
20/04/2020,85
21/04/2020,62
22/04/2020,77
23/04/2020,86
24/04/2020,89
25/04/2020,73
26/04/2020,74
27/04/2020,74
28/04/2020,83
29/04/2020,83
30/04/2020,78
01/05/2020,78
02/05/2020,73
03/05/2020,75
04/05/2020,84
05/05/2020,72
06/05/2020,73
07/05/2020,80
08/05/2020,60
09/05/2020,69
10/05/2020,73
11/05/2020,65
12/05/2020,61
13/05/2020,50
14/05/2020,46
15/05/2020,59
16/05/2020,49
17/05/2020,53
18/05/2020,59
19/05/2020,42
20/05/2020,52
21/05/2020,55
22/05/2020,56
23/05/2020,55
24/05/2020,45
25/05/2020,42
26/05/2020,28
27/05/2020,38
28/05/2020,40
29/05/2020,41
30/05/2020,39
31/05/2020,46
01/06/2020,39
02/06/2020,37
03/06/2020,28
04/06/2020,43
05/06/2020,37
06/06/2020,30
07/06/2020,33
08/06/2020,38
09/06/2020,33
10/06/2020,40
11/06/2020,36
12/06/2020,30
13/06/2020,33
14/06/2020,27
15/06/2020,31
16/06/2020,28
17/06/2020,33
18/06/2020,29
19/06/2020,30
20/06/2020,29
21/06/2020,22
22/06/2020,20
23/06/2020,25
24/06/2020,22
25/06/2020,24
26/06/2020,11
27/06/2020,14
28/06/2020,23
29/06/2020,16
30/06/2020,21
01/07/2020,16
02/07/2020,15
03/07/2020,8
04/07/2020,15
05/07/2020,9
06/07/2020,15
07/07/2020,12
08/07/2020,11
09/07/2020,15
10/07/2020,14
11/07/2020,10
12/07/2020,9
13/07/2020,14
14/07/2020,8
15/07/2020,6
16/07/2020,6
17/07/2020,7
18/07/2020,11
19/07/2020,8
20/07/2020,7
21/07/2020,7
22/07/2020,6
23/07/2020,5
24/07/2020,3
25/07/2020,1
26/07/2020,2
27/07/2020,6
28/07/2020,6
29/07/2020,2
30/07/2020,0
31/07/2020,3
01/08/2020,3
02/08/2020,3
03/08/2020,4
04/08/2020,2
05/08/2020,3
06/08/2020,4
07/08/2020,3
08/08/2020,1
09/08/2020,4
10/08/2020,2
11/08/2020,4
12/08/2020,3
13/08/2020,6
14/08/2020,2
15/08/2020,1
16/08/2020,0
17/08/2020,3
18/08/2020,5
19/08/2020,1
20/08/2020,2
21/08/2020,5
22/08/2020,1
23/08/2020,3
24/08/2020,1
25/08/2020,1
26/08/2020,2
27/08/2020,1
28/08/2020,1
29/08/2020,1
30/08/2020,3
31/08/2020,2
01/09/2020,3
02/09/2020,2
03/09/2020,2
04/09/2020,0
05/09/2020,0
06/09/2020,3
07/09/2020,1
08/09/2020,1
09/09/2020,2
10/09/2020,2
11/09/2020,4
12/09/2020,1
13/09/2020,2
14/09/2020,2
15/09/2020,1
16/09/2020,2
17/09/2020,1
18/09/2020,1
19/09/2020,1
20/09/2020,4
21/09/2020,2
22/09/2020,1
23/09/2020,0
24/09/2020,1
25/09/2020,4
26/09/2020,2
27/09/2020,1
28/09/2020,1
29/09/2020,1
30/09/2020,4
01/10/2020,1
02/10/2020,3
03/10/2020,3
04/10/2020,3
05/10/2020,2
06/10/2020,4
07/10/2020,3
08/10/2020,1
09/10/2020,2
10/10/2020,3
11/10/2020,1
12/10/2020,2
13/10/2020,1
14/10/2020,1
15/10/2020,0
