date,georegion,deaths
13/10/2020,ITA,36246
12/10/2020,ITA,36205
11/10/2020,ITA,36166
10/10/2020,ITA,36140
09/10/2020,ITA,36111
08/10/2020,ITA,36083
07/10/2020,ITA,36061
06/10/2020,ITA,36030
05/10/2020,ITA,36002
04/10/2020,ITA,35986
03/10/2020,ITA,35968
02/10/2020,ITA,35941
01/10/2020,ITA,35918
30/09/2020,ITA,35894
29/09/2020,ITA,35875
28/09/2020,ITA,35851
27/09/2020,ITA,35835
26/09/2020,ITA,35818
25/09/2020,ITA,35801
24/09/2020,ITA,35781
23/09/2020,ITA,35758
22/09/2020,ITA,35738
21/09/2020,ITA,35724
20/09/2020,ITA,35707
19/09/2020,ITA,35692
18/09/2020,ITA,35668
17/09/2020,ITA,35658
16/09/2020,ITA,35645
15/09/2020,ITA,35633
14/09/2020,ITA,35624
13/09/2020,ITA,35610
12/09/2020,ITA,35603
11/09/2020,ITA,35597
10/09/2020,ITA,35587
09/09/2020,ITA,35577
08/09/2020,ITA,35563
07/09/2020,ITA,35553
06/09/2020,ITA,35541
05/09/2020,ITA,35534
04/09/2020,ITA,35518
03/09/2020,ITA,35507
02/09/2020,ITA,35497
01/09/2020,ITA,35491
31/08/2020,ITA,35483
30/08/2020,ITA,35477
29/08/2020,ITA,35473
28/08/2020,ITA,35472
27/08/2020,ITA,35463
26/08/2020,ITA,35458
25/08/2020,ITA,35445
24/08/2020,ITA,35441
23/08/2020,ITA,35437
22/08/2020,ITA,35430
21/08/2020,ITA,35427
20/08/2020,ITA,35418
19/08/2020,ITA,35412
18/08/2020,ITA,35405
17/08/2020,ITA,35400
16/08/2020,ITA,35396
15/08/2020,ITA,35392
14/08/2020,ITA,35234
13/08/2020,ITA,35231
12/08/2020,ITA,35225
11/08/2020,ITA,35215
10/08/2020,ITA,35209
09/08/2020,ITA,35205
08/08/2020,ITA,35203
07/08/2020,ITA,35190
06/08/2020,ITA,35187
05/08/2020,ITA,35181
04/08/2020,ITA,35171
03/08/2020,ITA,35166
02/08/2020,ITA,35154
01/08/2020,ITA,35146
31/07/2020,ITA,35141
30/07/2020,ITA,35132
29/07/2020,ITA,35129
28/07/2020,ITA,35123
27/07/2020,ITA,35112
26/07/2020,ITA,35107
25/07/2020,ITA,35102
24/07/2020,ITA,35097
23/07/2020,ITA,35092
22/07/2020,ITA,35082
21/07/2020,ITA,35073
20/07/2020,ITA,35058
19/07/2020,ITA,35045
18/07/2020,ITA,35042
17/07/2020,ITA,35028
16/07/2020,ITA,35017
15/07/2020,ITA,34997
14/07/2020,ITA,34984
13/07/2020,ITA,34967
12/07/2020,ITA,34954
