date,georegion,deaths
11/07/2020,ITA,34945
10/07/2020,ITA,34938
09/07/2020,ITA,34926
08/07/2020,ITA,34914
07/07/2020,ITA,34899
06/07/2020,ITA,34869
05/07/2020,ITA,34861
04/07/2020,ITA,34854
03/07/2020,ITA,34833
02/07/2020,ITA,34818
01/07/2020,ITA,34788
30/06/2020,ITA,34767
29/06/2020,ITA,34744
28/06/2020,ITA,34738
27/06/2020,ITA,34716
26/06/2020,ITA,34708
25/06/2020,ITA,34678
24/06/2020,ITA,34644
23/06/2020,ITA,34675
22/06/2020,ITA,34657
21/06/2020,ITA,34634
20/06/2020,ITA,34610
19/06/2020,ITA,34561
18/06/2020,ITA,34514
17/06/2020,ITA,34448
16/06/2020,ITA,34405
15/06/2020,ITA,34371
14/06/2020,ITA,34345
13/06/2020,ITA,34301
12/06/2020,ITA,34223
11/06/2020,ITA,34167
10/06/2020,ITA,34114
09/06/2020,ITA,34043
08/06/2020,ITA,33964
07/06/2020,ITA,33899
06/06/2020,ITA,33846
05/06/2020,ITA,33774
04/06/2020,ITA,33689
03/06/2020,ITA,33601
02/06/2020,ITA,33530
01/06/2020,ITA,33475
31/05/2020,ITA,33415
30/05/2020,ITA,33340
29/05/2020,ITA,33229
28/05/2020,ITA,33142
27/05/2020,ITA,33072
26/05/2020,ITA,32955
25/05/2020,ITA,32877
24/05/2020,ITA,32785
23/05/2020,ITA,32735
22/05/2020,ITA,32616
21/05/2020,ITA,32486
20/05/2020,ITA,32330
19/05/2020,ITA,32169
18/05/2020,ITA,32007
17/05/2020,ITA,31908
16/05/2020,ITA,31763
15/05/2020,ITA,31610
14/05/2020,ITA,31368
13/05/2020,ITA,31106
12/05/2020,ITA,30911
11/05/2020,ITA,30739
10/05/2020,ITA,30560
09/05/2020,ITA,30395
08/05/2020,ITA,30201
07/05/2020,ITA,29958
06/05/2020,ITA,29684
05/05/2020,ITA,29315
04/05/2020,ITA,29079
03/05/2020,ITA,28884
02/05/2020,ITA,28710
01/05/2020,ITA,28236
30/04/2020,ITA,27967
29/04/2020,ITA,27682
28/04/2020,ITA,27359
27/04/2020,ITA,26977
26/04/2020,ITA,26664
25/04/2020,ITA,26384
24/04/2020,ITA,25969
23/04/2020,ITA,25549
22/04/2020,ITA,25085
21/04/2020,ITA,24648
20/04/2020,ITA,24114
19/04/2020,ITA,23660
18/04/2020,ITA,23227
17/04/2020,ITA,22745
16/04/2020,ITA,22170
15/04/2020,ITA,21645
14/04/2020,ITA,21067
13/04/2020,ITA,20465
12/04/2020,ITA,19899
11/04/2020,ITA,19468
10/04/2020,ITA,18849
09/04/2020,ITA,18279
08/04/2020,ITA,17669
07/04/2020,ITA,17127
06/04/2020,ITA,16523
05/04/2020,ITA,15887
04/04/2020,ITA,15362
03/04/2020,ITA,14681
02/04/2020,ITA,13915
01/04/2020,ITA,13155
31/03/2020,ITA,12428
30/03/2020,ITA,11591
29/03/2020,ITA,10779
28/03/2020,ITA,10023
27/03/2020,ITA,9134
26/03/2020,ITA,8165
25/03/2020,ITA,7503
24/03/2020,ITA,6820
23/03/2020,ITA,6077
22/03/2020,ITA,5476
21/03/2020,ITA,4825
20/03/2020,ITA,4032
19/03/2020,ITA,3405
18/03/2020,ITA,2978
17/03/2020,ITA,2503
16/03/2020,ITA,2158
15/03/2020,ITA,1809
14/03/2020,ITA,1441
13/03/2020,ITA,1266
12/03/2020,ITA,1016
11/03/2020,ITA,827
10/03/2020,ITA,631
09/03/2020,ITA,463
08/03/2020,ITA,366
07/03/2020,ITA,233
06/03/2020,ITA,197
05/03/2020,ITA,148
04/03/2020,ITA,107
03/03/2020,ITA,79
02/03/2020,ITA,52
01/03/2020,ITA,34
29/02/2020,ITA,29
28/02/2020,ITA,21
27/02/2020,ITA,17
26/02/2020,ITA,12
25/02/2020,ITA,10
24/02/2020,ITA,7
