Region,State_Code,City,Tested,Positive,Inferred_Positive,Adjusted Prevalence,,,,,,,,,,,,,,,,
North,PA,BREVES,250,53,NA,NA,,,,,,,,,,,,,,,,
North,AM,TEFÉ,250,42,NA,NA,,,,,,,,,,,,,,,,
North,PA,CASTANHAL,250,33,NA,NA,,,,States,,,Regions,,,,,,,,,
North,PA,BELÉM,247,32,NA,NA,,,,AC,Acre,,North,Acre,Amapa,Amazonas,Rondonia,Roraima,Para,Tocatins,,
North,AM,MANAUS,250,27,NA,NA,,,,AL,Alagoas,,Northeast,Alagoas,Bahia,Ceara,Maranhao,Pernambuco,Piau,Paraiba,Rio Grande de Norte,Sergipe
North,AP,MACAPÁ,250,21,NA,NA,,,,AP,Amapa,,Central-West,Federal District,Goias,Mato Grosso,Mato Grosso do Sul,,,,,
Northeast,CE,FORTALEZA,225,17,NA,NA,,,,AM,Amazonas,,Southeast,Espirito Santo,Minas Gerais,Rio de Janeiro,Sao Paolo,,,,,
North,PA,MARABÁ,250,18,NA,NA,,,,BA,Bahia,,South,Parana,Rio Grande do Sul,Santa Catarina,,,,,,
North,AC,RIO BRANCO,250,12,NA,NA,,,,CE,Ceara,,,,,,,,,,,
North,AM,PARINTINS,250,11,NA,NA,,,,DF,Distrito Federal,,,,,,,,,,,
North,RR,BOA VISTA,250,10,NA,NA,,,,ES,Espirito Santo,,,,,,,,,,,
North,AP,OIAPOQUE,250,8,NA,NA,,,,GO,Goias,,,,,,,,,,,
Northeast,PE,RECIFE,240,7,NA,NA,,,,MA,Marahao,,,,,,,,,,,
Southeast,SP,SÃO PAULO,212,6,NA,NA,,,,MT,Mato Grosso,,,,,,,,,,,
Southeast,RJ,RIO DE JANEIRO,243,5,NA,NA,,,,MS,Mato Grosso do Sul,,,,,,,,,,,
Northeast,CE,SOBRAL,232,4,NA,NA,,,,MG,Minas Gerais,,,,,,,,,,,
South,PR,PONTA GROSSA,250,4,NA,NA,,,,PA,Para,,,,,,,,,,,
Northeast,AL,MACEIÓ,234,3,NA,NA,,,,PB,Paraiba,,,,,,,,,,,
Southeast,ES,VITÓRIA,250,3,NA,NA,,,,PE,Pernambuco,,,,,,,,,,,
South,RN,NATAL,229,2,NA,NA,,,,PI,Piaui,,,,,,,,,,,
Southeast,SP,CAMPINAS,237,2,NA,NA,,,,PR,Parana,,,,,,,,,,,
Northeast,CE,CRATEÚS,247,2,NA,NA,,,,RJ,Rio de Janeiro,,,,,,,,,,,
Northeast,MA,BACABAL,250,2,NA,NA,,,,RN,Rio Grande de Norte,,,,,,,,,,,
South,SC,FLORIANÓPOLIS,223,1,NA,NA,,,,RO,Rondonia,,,,,,,,,,,
North,PA,ALTAMIRA,232,1,NA,NA,,,,RR,Roraima,,,,,,,,,,,
Southeast,RJ,PETRÓPOLIS,239,1,NA,NA,,,,RS,Rio Grande do Sul,,,,,,,,,,,
Southeast,SP,RIBEIRÃO PRETO,239,1,NA,NA,,,,SC,Santa Catarina,,,,,,,,,,,
Southeast,MG,TEÓFILO OTONI,242,1,NA,NA,,,,SE,Sergipe,,,,,,,,,,,
South,PR,CASCAVEL,248,1,NA,NA,,,,SP,Sao Paulo,,,,,,,,,,,
North,AC,CRUZEIRO DO SUL,250,1,NA,NA,,,,TO,Tocantins,,,,,,,,,,,
Northeast,MA,PRESIDENTE DUTRA,250,1,NA,NA,,,,,,,,,,,,,,,,
Southeast,MG,JUIZ DE FORA,250,1,NA,NA,,,,,,,,,,,,,,,,
