param,min,LCI,median,mean,UCI,max,ESS,GewekeZ,GewekeP
ma1,2.002042069572522e-8,2.8542420340110787e-6,1.760289741602948e-5,1.9076646335896098e-5,4.445743228893201e-5,8.663120227884216e-5,5423.764644174184,1.1471114300046386,0.20662063472367254
ma10,0.18840840398606415,0.20058055729532603,0.3402862863702484,0.3263055232649326,0.397686303413905,0.3999992856965601,489.72556268198554,2.2594691391057333,0.03106918060439515
ma2,8.455837045952685e-7,1.409921243851698e-5,4.006536312313253e-5,4.1705744460163886e-5,7.872863911514612e-5,1.2217316061065062e-4,4381.615268935684,1.735109831613247,0.08854524655710348
ma3,6.422301327600104e-5,1.0732850976349063e-4,1.939098379779329e-4,1.9404010588158703e-4,2.8553790849096143e-4,3.7514485084717293e-4,1198.3973604580306,1.8989046975857387,0.06575246892354518
ma4,1.712576498719292e-4,2.3637954371046177e-4,4.104150403129904e-4,4.03477497666334e-4,5.44232653982226e-4,6.630473868271755e-4,777.4216957164764,1.7012884146007228,0.09384322877135129
ma5,5.217115091850008e-4,6.262586491325349e-4,0.0010673500780200916,0.0010323896641551626,0.0013189159796358023,0.0014964238077461603,540.5296692580712,2.4146464044782134,0.021618687797418705
ma6,0.0019564886870510807,0.0021637826618848403,0.003686112155070062,0.003547035562808297,0.004410651580764463,0.004701973330469671,507.0739198251588,2.0691719265143016,0.04690294726926839
ma7,0.007305446973201772,0.007910497760704127,0.013417649511382398,0.012887082875607447,0.015849112929097384,0.016680990762849093,495.2756878493352,2.2126850203342974,0.034495512605493495
ma8,0.026982331108276223,0.02918220969399954,0.04954139922330524,0.047550144173879545,0.0581541608518628,0.059873559831301076,491.4988281834396,2.2448578941970787,0.032108579327900955
ma9,0.07533062378450474,0.08011545223833566,0.13592850063369813,0.13038509386047129,0.15891417256810658,0.15998307614676197,489.86568392138423,2.2577499384054476,0.031190056858575056
