ageband	reg	serorev
(0,9]	0 (0, 0.02)	0 (0, 0.02)
(9,19]	0.01 (0, 0.08)	0.01 (0, 0.08)
(19,29]	0.02 (0, 0.28)	0.02 (0, 0.27)
(29,39]	0.06 (0, 0.77)	0.05 (0, 0.74)
(39,49]	0.15 (0.01, 1.8)	0.14 (0.01, 1.71)
(49,59]	0.41 (0.05, 3.67)	0.38 (0.04, 3.44)
(59,69]	1.09 (0.17, 6.81)	1.02 (0.17, 6.29)
(69,79]	2.9 (0.69, 12.19)	2.72 (0.66, 11.13)
(79,89]	7.74 (2.7, 22.18)	7.24 (2.6, 20.13)
(89,999]	20.68 (10.04, 42.59)	19.27 (9.62, 38.58)
