georegion	reg	serorev
Grenada	0.43 (0.2, 1.07)	0.35 (0.16, 0.91)
Madagascar	0.2 (0.09, 0.56)	0.16 (0.07, 0.49)
Malta	0.7 (0.34, 1.75)	0.57 (0.27, 1.48)
Netherlands	0.78 (0.38, 1.89)	0.63 (0.3, 1.57)
Nicaragua	0.25 (0.12, 0.66)	0.21 (0.1, 0.56)
Spain	0.84 (0.42, 1.97)	0.68 (0.33, 1.65)
