location	ageband	sero_midday	obs_input_seropev	seroprev_reg	seroprev_serorev	crude_IFRs	regIFR	serorevIFR
China, Wuhan	59-69	2020-04-11	0.04	3.49 (3.3, 3.68)	3.47 (3.3, 3.66)	3.87 (2.62, 6.76)	10.01 (6.65, 12.43)	10.16 (6.9, 12.51)
China, Wuhan	69-79	2020-04-11	0.04	3.49 (3.31, 3.74)	3.49 (3.3, 3.68)	6.95 (4.74, 11.85)	18.57 (12.31, 23.04)	18.82 (12.85, 23.24)
China, Wuhan	79-999	2020-04-11	0.04	3.5 (3.31, 3.7)	3.49 (3.32, 3.66)	12.89 (8.98, 21.04)	36.3 (24.54, 39.86)	36.9 (25.39, 39.89)
Denmark	0-59	2020-04-30	0.02	2.12 (1.83, 2.3)	2.06 (1.87, 2.31)	0.01 (0.01, 0.02)	0.03 (0.01, 0.24)	0.03 (0.01, 0.27)
Denmark	59-69	2020-04-30	0.02	2.12 (1.82, 2.28)	2.07 (1.86, 2.29)	0.25 (0.17, 0.36)	0.55 (0.27, 4.19)	0.5 (0.19, 4.62)
Denmark	69-79	2020-04-30	0.02	2.13 (1.82, 2.31)	2.08 (1.89, 2.3)	0.82 (0.56, 1.19)	1.83 (0.96, 13.98)	1.7 (0.67, 15.14)
Denmark	79-999	2020-04-30	0.02	2.12 (1.83, 2.32)	2.08 (1.88, 2.26)	2.13 (1.46, 3.07)	4.78 (2.56, 36.19)	4.44 (1.8, 38.36)
England	0-44	2020-06-26	0.07	6.62 (6.45, 6.78)	6.64 (6.5, 6.88)	0.02 (0.02, 0.02)	0.02 (0.02, 0.02)	0.01 (0.01, 0.01)
England	44-64	2020-06-26	0.06	6.1 (5.92, 6.25)	6.11 (5.94, 6.28)	0.52 (0.5, 0.54)	0.43 (0.35, 0.49)	0.2 (0.17, 0.23)
England	64-74	2020-06-26	0.04	4.37 (4.21, 4.6)	4.39 (4.21, 4.57)	3.19 (2.96, 3.45)	2.45 (2, 2.87)	1.16 (0.95, 1.36)
England	74-999	2020-06-26	0.04	4.77 (4.52, 5.08)	4.83 (4.58, 5.1)	17.34 (15.75, 19.21)	14.31 (11.53, 16.78)	6.79 (5.55, 7.98)
Italy	0-9	2020-06-20	0.02	2.44 (2.3, 2.6)	2.42 (2.23, 2.58)	0 (0, 0.01)	0 (0, 0.01)	0 (0, 0)
Italy	9-19	2020-06-20	0.02	2.43 (2.28, 2.57)	2.42 (2.31, 2.58)	0 (0, 0)	0 (0, 0)	0 (0, 0)
Italy	19-29	2020-06-20	0.02	2.39 (2.23, 2.52)	2.38 (2.22, 2.53)	0.01 (0.01, 0.01)	0.01 (0.01, 0.02)	0.01 (0, 0.01)
Italy	29-39	2020-06-20	0.02	2.42 (2.28, 2.6)	2.42 (2.23, 2.56)	0.04 (0.04, 0.05)	0.04 (0.03, 0.06)	0.02 (0.01, 0.03)
Italy	39-49	2020-06-20	0.02	2.47 (2.33, 2.61)	2.43 (2.27, 2.57)	0.14 (0.12, 0.16)	0.15 (0.12, 0.17)	0.07 (0.05, 0.08)
Italy	49-59	2020-06-20	0.03	2.63 (2.51, 2.77)	2.61 (2.46, 2.77)	0.4 (0.35, 0.46)	0.5 (0.42, 0.58)	0.23 (0.19, 0.26)
Italy	59-69	2020-06-20	0.03	2.5 (2.34, 2.66)	2.49 (2.36, 2.65)	1.75 (1.49, 2.04)	1.95 (1.64, 2.26)	0.89 (0.75, 1.03)
Italy	69-79	2020-06-20	0.03	2.5 (2.36, 2.66)	2.47 (2.31, 2.62)	5.64 (4.82, 6.54)	6.36 (5.37, 7.34)	2.91 (2.42, 3.35)
Italy	79-89	2020-06-20	0.03	2.48 (2.32, 2.67)	2.47 (2.32, 2.61)	12.47 (10.79, 14.3)	15.2 (12.83, 17.53)	6.92 (5.76, 7.92)
Italy	89-999	2020-06-20	0.03	2.47 (2.33, 2.62)	2.45 (2.31, 2.59)	19.44 (16.99, 22.03)	25.75 (21.53, 29.63)	11.72 (9.76, 13.57)
Netherlands	0-49	2020-05-15	0.06	5.55 (5.28, 5.85)	5.55 (5.2, 5.83)	0.01 (0.01, 0.01)	0.01 (0, 0.01)	0 (0, 0.01)
Netherlands	49-59	2020-05-15	0.06	5.46 (5.18, 5.72)	5.41 (5.13, 5.68)	0.11 (0.1, 0.12)	0.11 (0.09, 0.14)	0.07 (0.06, 0.08)
Netherlands	59-69	2020-05-15	0.06	5.43 (5.16, 5.71)	5.37 (5.06, 5.68)	0.44 (0.4, 0.49)	0.47 (0.41, 0.56)	0.28 (0.25, 0.32)
Netherlands	69-79	2020-05-15	0.06	5.49 (5.23, 5.78)	5.45 (5.19, 5.7)	1.96 (1.78, 2.16)	2.11 (1.87, 2.45)	1.23 (1.12, 1.39)
Netherlands	79-89	2020-05-15	0.06	5.48 (5.24, 5.75)	5.44 (5.16, 5.74)	6.25 (5.72, 6.87)	7.06 (6.25, 8.22)	4.12 (3.74, 4.63)
Netherlands	89-999	2020-05-15	0.06	5.48 (5.22, 5.75)	5.43 (5.19, 5.69)	10.44 (9.59, 11.42)	12.34 (10.8, 14.5)	7.21 (6.42, 8.22)
Spain	0-10	2020-06-15	0.03	3.84 (3.67, 4.1)	3.48 (3.28, 3.71)	0 (0, 0)	0 (0, 0)	0 (0, 0)
Spain	10-20	2020-06-15	0.04	4.42 (4.23, 4.63)	4.02 (3.86, 4.15)	0 (0, 0)	0 (0, 0.01)	0 (0, 0)
Spain	20-30	2020-06-15	0.05	5.07 (4.87, 5.3)	4.6 (4.45, 4.79)	0.01 (0.01, 0.02)	0.01 (0.01, 0.02)	0.01 (0.01, 0.01)
Spain	30-40	2020-06-15	0.05	4.98 (4.81, 5.16)	4.5 (4.36, 4.65)	0.03 (0.03, 0.04)	0.03 (0.02, 0.04)	0.02 (0.01, 0.02)
Spain	40-50	2020-06-15	0.06	5.75 (5.59, 5.93)	5.21 (5.04, 5.35)	0.07 (0.06, 0.08)	0.07 (0.06, 0.08)	0.04 (0.03, 0.05)
Spain	50-60	2020-06-15	0.06	6.01 (5.85, 6.19)	5.41 (5.27, 5.59)	0.22 (0.21, 0.24)	0.23 (0.21, 0.25)	0.13 (0.12, 0.14)
Spain	60-70	2020-06-15	0.06	6.16 (5.98, 6.35)	5.55 (5.38, 5.71)	0.78 (0.72, 0.85)	0.81 (0.75, 0.88)	0.45 (0.42, 0.49)
Spain	70-80	2020-06-15	0.07	6.26 (6.05, 6.54)	5.64 (5.45, 5.84)	2.65 (2.41, 2.93)	2.88 (2.66, 3.13)	1.62 (1.49, 1.76)
Spain	80-90	2020-06-15	0.06	5.68 (5.38, 6)	5.08 (4.87, 5.33)	8.48 (7.37, 9.9)	9.53 (8.7, 10.52)	5.35 (4.86, 5.93)
Spain	90-999	2020-06-15	0.08	5.69 (5.3, 5.93)	5.1 (4.89, 5.39)	12.81 (9.92, 17.46)	20.57 (18.56, 23.22)	11.6 (10.37, 12.97)
Sweden	0-9	2020-06-10	0.07	NA	NA	0 (0, 0)	NA	NA
Sweden	9-19	2020-06-10	0.07	NA	NA	0 (0, 0)	NA	NA
Sweden	19-29	2020-06-10	0.07	NA	NA	0.01 (0.01, 0.01)	NA	NA
Sweden	29-39	2020-06-10	0.07	NA	NA	0.01 (0.01, 0.02)	NA	NA
Sweden	39-49	2020-06-10	0.07	NA	NA	0.05 (0.03, 0.08)	NA	NA
Sweden	49-59	2020-06-10	0.07	NA	NA	0.17 (0.12, 0.25)	NA	NA
Sweden	59-69	2020-06-10	0.07	NA	NA	0.44 (0.3, 0.66)	NA	NA
Sweden	69-79	2020-06-10	0.07	NA	NA	1.54 (1.06, 2.26)	NA	NA
Sweden	79-89	2020-06-10	0.07	NA	NA	6.26 (4.37, 9)	NA	NA
Sweden	89-999	2020-06-10	0.07	NA	NA	15.32 (10.98, 21.11)	NA	NA
Switzerland, Geneva	0-10	2020-05-07	0	9.06 (8.08, 9.91)	8.61 (7.9, 9.36)	NaN (Inf, Inf)	0 (0, 0.01)	0 (0, 0.01)
Switzerland, Geneva	10-20	2020-05-07	0.15	9.42 (8.42, 10.36)	8.9 (8.09, 9.83)	0 (0, 0)	0 (0, 0.01)	0 (0, 0.01)
Switzerland, Geneva	20-30	2020-05-07	0.11	9.65 (8.96, 10.42)	9.19 (8.28, 9.99)	0 (0, 0)	0 (0, 0.01)	0 (0, 0)
Switzerland, Geneva	30-40	2020-05-07	0.11	9.68 (8.78, 10.51)	9.2 (8.34, 9.81)	0.02 (0.02, 0.03)	0.02 (0, 0.06)	0.02 (0, 0.04)
Switzerland, Geneva	40-50	2020-05-07	0.11	9.72 (8.89, 10.44)	9.26 (8.32, 10.02)	0 (0, 0)	0 (0, 0.01)	0 (0, 0)
Switzerland, Geneva	50-60	2020-05-07	0.11	9.15 (8.52, 10.14)	8.67 (7.9, 9.28)	0.11 (0.08, 0.16)	0.12 (0.05, 0.21)	0.08 (0.03, 0.13)
Switzerland, Geneva	60-70	2020-05-07	0.11	9.16 (8.41, 10)	8.62 (8.07, 9.39)	0.26 (0.19, 0.39)	0.28 (0.14, 0.45)	0.18 (0.09, 0.3)
Switzerland, Geneva	70-80	2020-05-07	0.07	8.93 (7.9, 9.71)	8.41 (7.62, 9.4)	1.75 (1.01, 4.53)	1.28 (0.91, 1.75)	0.84 (0.59, 1.15)
Switzerland, Geneva	80-999	2020-05-07	0.07	8.84 (7.95, 9.9)	8.41 (7.46, 9.26)	9.33 (5.55, 21.53)	7.41 (6.05, 9.29)	4.84 (3.92, 6.09)
Switzerland, Zurich	0-10	2020-05-16	0.02	1.53 (1.39, 1.68)	1.48 (1.34, 1.62)	0 (0, 0)	0.01 (0, 0.02)	0.01 (0, 0.01)
Switzerland, Zurich	10-20	2020-05-16	0.02	1.52 (1.4, 1.71)	1.48 (1.37, 1.6)	0 (0, 0)	0.01 (0, 0.02)	0.01 (0, 0.01)
Switzerland, Zurich	20-30	2020-05-16	0.02	1.53 (1.4, 1.67)	1.47 (1.35, 1.61)	0 (0, 0)	0.01 (0, 0.02)	0 (0, 0.01)
Switzerland, Zurich	30-40	2020-05-16	0.02	1.52 (1.42, 1.66)	1.48 (1.37, 1.63)	0 (0, 0)	0.01 (0, 0.01)	0 (0, 0.01)
Switzerland, Zurich	40-50	2020-05-16	0.02	1.53 (1.42, 1.67)	1.48 (1.33, 1.61)	0 (0, 0)	0.01 (0, 0.01)	0 (0, 0.01)
Switzerland, Zurich	50-60	2020-05-16	0.02	1.52 (1.41, 1.69)	1.48 (1.35, 1.62)	0.12 (0.08, 0.18)	0.11 (0.02, 0.25)	0.07 (0.01, 0.15)
Switzerland, Zurich	60-70	2020-05-16	0.02	1.53 (1.37, 1.67)	1.48 (1.37, 1.61)	0.42 (0.3, 0.64)	0.42 (0.18, 0.73)	0.26 (0.12, 0.45)
Switzerland, Zurich	70-80	2020-05-16	0.02	1.52 (1.39, 1.68)	1.48 (1.35, 1.62)	0.91 (0.66, 1.39)	0.92 (0.51, 1.45)	0.57 (0.32, 0.89)
Switzerland, Zurich	80-999	2020-05-16	0.02	1.5 (1.38, 1.63)	1.45 (1.34, 1.59)	7.35 (5.42, 10.82)	8.02 (6.09, 10.57)	4.97 (3.76, 6.5)
