study_id	mod_carehome_ifr_col
CHE1	0.3 (0.24, 0.37)
CHE2	0.16 (0.11, 0.23)
DNK1	0.35 (0.22, 2.84)
ESP1-2	0.68 (0.64, 0.73)
GBR3	1.03 (0.83, 1.22)
NYS1	17.15 (9.38, 20.41)
