ageband	NoSeroRev	SeroRev
0-10	0 (0, 0)	0 (0, 0)
10-20	0.01 (0.01, 0.01)	0.01 (0, 0.01)
20-30	0.02 (0.02, 0.03)	0.02 (0.01, 0.03)
30-40	0.06 (0.05, 0.07)	0.05 (0.04, 0.07)
40-50	0.16 (0.13, 0.19)	0.14 (0.12, 0.17)
50-60	0.43 (0.37, 0.5)	0.39 (0.34, 0.45)
60-70	1.17 (1.03, 1.33)	1.07 (0.94, 1.22)
70-80	3.16 (2.76, 3.63)	2.93 (2.56, 3.37)
80-90	8.58 (7.21, 10.21)	8.04 (6.76, 9.57)
90-100	23.28 (18.61, 29.13)	22.06 (17.65, 27.56)
