age	noserorev_var	serorev_var
5.5	0.8767	0.8792
15	2.875	2.9625
25	0.8769	0.8827
35	1.3138	1.3389
45	3.5669	3.5659
55	0.971	0.9796
65	1.1283	1.1343
75	0.6739	0.6692
85	0.0885	0.0712
95	0.2634	0.2666
